Material,Sales Organization,Distribution Channel,Product hierarchy
110000000053,IN03,SD,
110000000054,IN02,SD,
110000000054,IN03,SD,
110000000055,IN02,SD,
110000000055,IN03,SD,
110000000056,IN02,SD,
110000000056,IN03,SD,
110000000057,IN02,SD,
110000000057,IN03,SD,
110000000058,IN02,SD,
110000000058,IN03,SD,
110000000059,IN02,SD,
110000000059,IN03,SD,
110000000060,IN02,SD,
110000000060,IN03,SD,
110000000061,IN02,SD,
110000000061,IN03,SD,
110000000062,IN02,SD,
110000000062,IN03,SD,
110000000063,IN02,SD,
110000000063,IN03,SD,
110000000064,IN02,SD,
110000000064,IN03,SD,
110000000065,IN02,SD,
110000000065,IN03,SD,
110000000066,IN02,SD,
110000000066,IN03,SD,
110000000067,IN02,SD,
110000000067,IN03,SD,
110000000068,IN02,SD,
110000000068,IN03,SD,
110000000069,IN02,SD,
110000000069,IN03,SD,
110000000070,IN02,SD,
110000000070,IN03,SD,
110000000071,IN02,SD,
110000000071,IN03,SD,
110000000072,IN02,SD,
110000000072,IN03,SD,
110000000073,IN02,SD,
110000000073,IN03,SD,
110000000074,IN02,SD,
110000000074,IN03,SD,
110000000075,IN02,SD,
110000000075,IN03,SD,
110000000076,IN02,SD,
110000000076,IN03,SD,
110000000077,IN02,SD,
110000000077,IN03,SD,
110000000078,IN02,SD,
110000000078,IN03,SD,
110000000079,IN02,SD,
110000000079,IN03,SD,
110000000080,IN02,SD,
110000000080,IN03,SD,
110000000081,IN02,SD,
110000000081,IN03,SD,
110000000082,IN02,SD,
110000000082,IN03,SD,
110000000083,IN02,SD,
110000000083,IN03,SD,
110000000084,IN02,SD,
110000000084,IN03,SD,
110000000085,IN02,SD,
110000000085,IN03,SD,
110000000086,IN02,SD,
110000000086,IN03,SD,
110000000087,IN02,SD,
110000000087,IN03,SD,
110000000088,IN02,SD,
110000000088,IN03,SD,
110000000089,IN02,SD,
110000000089,IN03,SD,
110000000090,IN02,SD,
110000000090,IN03,SD,
110000000091,IN02,SD,
110000000091,IN03,SD,
110000000092,IN02,SD,
110000000092,IN03,SD,
110000000093,IN02,SD,
110000000093,IN03,SD,
110000000094,IN02,SD,
110000000094,IN03,SD,
110000000095,IN02,SD,
110000000095,IN03,SD,
110000000096,IN02,SD,
110000000096,IN03,SD,
110000000097,IN02,SD,
110000000097,IN03,SD,
110000000098,IN02,SD,
110000000098,IN03,SD,
110000000099,IN02,SD,
110000000099,IN03,SD,
110000000100,IN02,SD,
110000000100,IN03,SD,
110000000101,IN02,SD,
110000000101,IN03,SD,
110000000102,IN02,SD,
110000000102,IN03,SD,
110000000103,IN02,SD,
110000000103,IN03,SD,
110000000104,IN02,SD,
110000000104,IN03,SD,
110000000105,IN02,SD,
110000000105,IN03,SD,
110000000106,IN02,SD,
110000000106,IN03,SD,
110000000107,IN02,SD,
110000000107,IN03,SD,
110000000108,IN02,SD,
110000000108,IN03,SD,
110000000109,IN02,SD,
110000000109,IN03,SD,
110000000110,IN02,SD,
110000000110,IN03,SD,
110000000111,IN02,SD,
110000000111,IN03,SD,
110000000112,IN02,SD,
110000000112,IN03,SD,
110000000113,IN02,SD,
110000000113,IN03,SD,
110000000114,IN02,SD,
110000000114,IN03,SD,
110000000115,IN02,SD,
110000000115,IN03,SD,
110000000116,IN02,SD,
110000000116,IN03,SD,
110000000117,IN02,SD,
110000000117,IN03,SD,
110000000118,IN02,SD,
110000000118,IN03,SD,
110000000119,IN02,SD,
110000000119,IN03,SD,
110000000120,IN02,SD,
110000000120,IN03,SD,
110000000121,IN02,SD,
110000000121,IN03,SD,
110000000122,IN02,SD,
110000000122,IN03,SD,
110000000123,IN02,SD,
110000000123,IN03,SD,
110000000124,IN02,SD,
110000000124,IN03,SD,
110000000125,IN02,SD,
110000000125,IN03,SD,
110000000126,IN02,SD,
110000000126,IN03,SD,
110000000127,IN02,SD,
110000000127,IN03,SD,
110000000128,IN02,SD,
110000000128,IN03,SD,
110000000129,IN02,SD,
110000000129,IN03,SD,
110000000130,IN02,SD,
110000000130,IN03,SD,
110000000131,IN02,SD,
110000000131,IN03,SD,
110000000132,IN02,SD,
110000000132,IN03,SD,
110000000133,IN02,SD,
110000000133,IN03,SD,
110000000134,IN02,SD,
110000000134,IN03,SD,
110000000135,IN02,SD,
110000000135,IN03,SD,
110000000136,IN02,SD,
110000000136,IN03,SD,
110000000137,IN02,SD,
110000000137,IN03,SD,
110000000138,IN02,SD,
110000000138,IN03,SD,
110000000139,IN02,SD,
110000000139,IN03,SD,
110000000140,IN02,SD,
110000000140,IN03,SD,
110000000141,IN02,SD,
110000000141,IN03,SD,
110000000142,IN02,SD,
110000000142,IN03,SD,
110000000143,IN02,SD,
110000000143,IN03,SD,
110000000144,IN02,SD,
110000000144,IN03,SD,
110000000145,IN02,SD,
110000000145,IN03,SD,
110000000146,IN02,SD,
110000000146,IN03,SD,
110000000147,IN02,SD,
110000000147,IN03,SD,
110000000148,IN02,SD,
110000000148,IN03,SD,
110000000149,IN02,SD,
110000000149,IN03,SD,
110000000150,IN02,SD,
110000000150,IN03,SD,
110000000151,IN02,SD,
110000000151,IN03,SD,
110000000152,IN02,SD,
110000000152,IN03,SD,
110000000153,IN02,SD,
110000000153,IN03,SD,
110000000154,IN02,SD,
110000000154,IN03,SD,
110000000155,IN02,SD,
110000000155,IN03,SD,
110000000156,IN02,SD,
110000000156,IN03,SD,
110000000157,IN02,SD,
110000000157,IN03,SD,
110000000158,IN02,SD,
110000000158,IN03,SD,
110000000159,IN02,SD,
110000000159,IN03,SD,
110000000160,IN02,SD,
110000000160,IN03,SD,
110000000161,IN02,SD,
110000000161,IN03,SD,
110000000162,IN02,SD,
110000000162,IN03,SD,
110000000163,IN02,SD,
110000000163,IN03,SD,
110000000164,IN02,SD,
110000000164,IN03,SD,
110000000165,IN02,SD,
110000000165,IN03,SD,
110000000166,IN02,SD,
110000000166,IN03,SD,
110000000167,IN02,SD,
110000000167,IN03,SD,
110000000168,IN02,SD,
110000000168,IN03,SD,
110000000169,IN02,SD,
110000000169,IN03,SD,
110000000170,IN02,SD,
110000000170,IN03,SD,
110000000171,IN02,SD,
110000000171,IN03,SD,
110000000172,IN02,SD,
110000000172,IN03,SD,
110000000173,IN02,SD,
110000000173,IN03,SD,
110000000174,IN02,SD,
110000000174,IN03,SD,
110000000175,IN02,SD,
110000000175,IN03,SD,
110000000176,IN02,SD,
110000000176,IN03,SD,
110000000177,IN02,SD,
110000000177,IN03,SD,
110000000178,IN02,SD,
110000000178,IN03,SD,
110000000179,IN02,SD,
110000000179,IN03,SD,
110000000180,IN02,SD,
110000000180,IN03,SD,
110000000181,IN02,SD,
110000000181,IN03,SD,
110000000182,IN02,SD,
110000000182,IN03,SD,
110000000183,IN02,SD,
110000000183,IN03,SD,
110000000184,IN02,SD,
110000000184,IN03,SD,
110000000185,IN02,SD,
110000000185,IN03,SD,
110000000186,IN02,SD,
110000000186,IN03,SD,
110000000187,IN02,SD,
110000000187,IN03,SD,
110000000188,IN02,SD,
110000000188,IN03,SD,
110000000189,IN02,SD,
110000000189,IN03,SD,
110000000190,IN02,SD,
110000000190,IN03,SD,
110000000191,IN02,SD,
110000000191,IN03,SD,
110000000192,IN02,SD,
110000000192,IN03,SD,
110000000193,IN02,SD,
110000000193,IN03,SD,
110000000194,IN02,SD,
110000000194,IN03,SD,
110000000195,IN02,SD,
110000000195,IN03,SD,
110000000196,IN02,SD,
110000000196,IN03,SD,
110000000197,IN02,SD,
110000000197,IN03,SD,
110000000198,IN02,SD,
110000000198,IN03,SD,
110000000199,IN02,SD,
110000000199,IN03,SD,
110000000200,IN02,SD,
110000000200,IN03,SD,
110000000201,IN02,SD,
110000000201,IN03,SD,
110000000202,IN02,SD,
110000000202,IN03,SD,
110000000203,IN02,SD,
110000000203,IN03,SD,
110000000204,IN02,SD,
110000000204,IN03,SD,
110000000205,IN02,SD,
110000000205,IN03,SD,
110000000206,IN02,SD,
110000000206,IN03,SD,
110000000207,IN02,SD,
110000000207,IN03,SD,
110000000208,IN02,SD,
110000000208,IN03,SD,
110000000209,IN02,SD,
110000000209,IN03,SD,
110000000210,IN02,SD,
110000000210,IN03,SD,
110000000211,IN02,SD,
110000000211,IN03,SD,
110000000212,IN02,SD,
110000000212,IN03,SD,
110000000213,IN02,SD,
110000000213,IN03,SD,
110000000214,IN02,SD,
110000000214,IN03,SD,
110000000215,IN02,SD,
110000000215,IN03,SD,
110000000216,IN02,SD,
110000000216,IN03,SD,
110000000217,IN02,SD,
110000000217,IN03,SD,
110000000218,IN02,SD,
110000000218,IN03,SD,
110000000219,IN02,SD,
110000000219,IN03,SD,
110000000220,IN02,SD,
110000000220,IN03,SD,
110000000221,IN02,SD,
110000000221,IN03,SD,
110000000222,IN02,SD,
110000000222,IN03,SD,
110000000223,IN02,SD,
110000000223,IN03,SD,
110000000224,IN02,SD,
110000000224,IN03,SD,
110000000225,IN02,SD,
110000000225,IN03,SD,
110000000226,IN02,SD,
110000000226,IN03,SD,
110000000227,IN02,SD,
110000000227,IN03,SD,
110000000228,IN02,SD,
110000000228,IN03,SD,
110000000229,IN02,SD,
110000000229,IN03,SD,
110000000230,IN02,SD,
110000000230,IN03,SD,
110000000231,IN02,SD,
110000000231,IN03,SD,
110000000232,IN02,SD,
110000000232,IN03,SD,
110000000233,IN02,SD,
110000000233,IN03,SD,
110000000234,IN02,SD,
110000000234,IN03,SD,
110000000235,IN02,SD,
110000000235,IN03,SD,
110000000236,IN02,SD,
110000000236,IN03,SD,
110000000237,IN02,SD,
110000000237,IN03,SD,
110000000238,IN02,SD,
110000000238,IN03,SD,
110000000239,IN02,SD,
110000000239,IN03,SD,
110000000240,IN02,SD,
110000000240,IN03,SD,
110000000241,IN02,SD,
110000000241,IN03,SD,
110000000242,IN02,SD,
110000000242,IN03,SD,
110000000243,IN02,SD,
110000000243,IN03,SD,
110000000244,IN02,SD,
110000000244,IN03,SD,
110000000245,IN02,SD,
110000000245,IN03,SD,
110000000246,IN02,SD,
110000000246,IN03,SD,
110000000247,IN02,SD,
110000000247,IN03,SD,
110000000248,IN02,SD,
110000000248,IN03,SD,
110000000249,IN02,SD,
110000000249,IN03,SD,
110000000250,IN02,SD,
110000000250,IN03,SD,
110000000251,IN02,SD,
110000000251,IN03,SD,
110000000252,IN02,SD,
110000000252,IN03,SD,
110000000253,IN02,SD,
110000000253,IN03,SD,
110000000254,IN02,SD,
110000000254,IN03,SD,
110000000255,IN02,SD,
110000000255,IN03,SD,
110000000256,IN02,SD,
110000000256,IN03,SD,
110000000257,IN02,SD,
110000000257,IN03,SD,
110000000258,IN02,SD,
110000000258,IN03,SD,
110000000259,IN02,SD,
110000000259,IN03,SD,
110000000260,IN02,SD,
110000000260,IN03,SD,
110000000261,IN02,SD,
110000000261,IN03,SD,
110000000262,IN02,SD,
110000000262,IN03,SD,
110000000263,IN02,SD,
110000000263,IN03,SD,
110000000264,IN02,SD,
110000000264,IN03,SD,
110000000265,IN02,SD,
110000000265,IN03,SD,
110000000266,IN02,SD,
110000000266,IN03,SD,
110000000267,IN02,SD,
110000000267,IN03,SD,
110000000268,IN02,SD,
110000000268,IN03,SD,
110000000269,IN02,SD,
110000000269,IN03,SD,
110000000270,IN02,SD,
110000000270,IN03,SD,
110000000271,IN02,SD,
110000000271,IN03,SD,
110000000272,IN02,SD,
110000000272,IN03,SD,
110000000273,IN02,SD,
110000000273,IN03,SD,
110000000274,IN02,SD,
110000000274,IN03,SD,
110000000275,IN02,SD,
110000000275,IN03,SD,
110000000276,IN02,SD,
110000000276,IN03,SD,
110000000277,IN02,SD,
110000000277,IN03,SD,
110000000278,IN02,SD,
110000000278,IN03,SD,
110000000279,IN02,SD,
110000000279,IN03,SD,
110000000280,IN02,SD,
110000000280,IN03,SD,
110000000281,IN02,SD,
110000000281,IN03,SD,
110000000282,IN02,SD,
110000000282,IN03,SD,
110000000283,IN02,SD,
110000000283,IN03,SD,
110000000284,IN02,SD,
110000000284,IN03,SD,
110000000285,IN02,SD,
110000000285,IN03,SD,
110000000286,IN02,SD,
110000000286,IN03,SD,
110000000287,IN02,SD,
110000000287,IN03,SD,
110000000288,IN02,SD,
110000000288,IN03,SD,
110000000289,IN02,SD,
110000000289,IN03,SD,
110000000290,IN02,SD,
110000000290,IN03,SD,
110000000291,IN02,SD,
110000000291,IN03,SD,
110000000292,IN02,SD,
110000000292,IN03,SD,
110000000293,IN02,SD,
110000000293,IN03,SD,
110000000294,IN02,SD,
110000000294,IN03,SD,
110000000295,IN02,SD,
110000000295,IN03,SD,
110000000296,IN02,SD,
110000000296,IN03,SD,
110000000297,IN02,SD,
110000000297,IN03,SD,
110000000298,IN02,SD,
110000000298,IN03,SD,
110000000299,IN02,SD,
110000000299,IN03,SD,
110000000300,IN02,SD,
110000000300,IN03,SD,
110000000301,IN02,SD,
110000000301,IN03,SD,
110000000302,IN02,SD,
110000000302,IN03,SD,
110000000303,IN02,SD,
110000000303,IN03,SD,
110000000304,IN02,SD,
110000000304,IN03,SD,
110000000305,IN02,SD,
110000000305,IN03,SD,
110000000306,IN02,SD,
110000000306,IN03,SD,
110000000307,IN02,SD,
110000000307,IN03,SD,
110000000308,IN02,SD,
110000000308,IN03,SD,
110000000309,IN02,SD,
110000000309,IN03,SD,
110000000310,IN02,SD,
110000000310,IN03,SD,
110000000311,IN02,SD,
110000000311,IN03,SD,
110000000312,IN02,SD,
110000000312,IN03,SD,
110000000313,IN02,SD,
110000000313,IN03,SD,
110000000314,IN02,SD,
110000000314,IN03,SD,
110000000315,IN02,SD,
110000000315,IN03,SD,
110000000316,IN02,SD,
110000000316,IN03,SD,
110000000317,IN02,SD,
110000000317,IN03,SD,
110000000318,IN02,SD,
110000000318,IN03,SD,
110000000319,IN02,SD,
110000000319,IN03,SD,
110000000320,IN02,SD,
110000000320,IN03,SD,
110000000321,IN02,SD,
110000000321,IN03,SD,
110000000322,IN02,SD,
110000000322,IN03,SD,
110000000323,IN02,SD,
110000000323,IN03,SD,
110000000324,IN02,SD,
110000000324,IN03,SD,
110000000325,IN02,SD,
110000000325,IN03,SD,
110000000326,IN02,SD,
110000000326,IN03,SD,
110000000327,IN02,SD,
110000000327,IN03,SD,
110000000328,IN02,SD,
110000000328,IN03,SD,
110000000329,IN02,SD,
110000000329,IN03,SD,
110000000330,IN02,SD,
110000000330,IN03,SD,
110000000331,IN02,SD,
110000000331,IN03,SD,
110000000332,IN02,SD,
110000000332,IN03,SD,
110000000333,IN02,SD,
110000000333,IN03,SD,
110000000334,IN02,SD,
110000000334,IN03,SD,
110000000335,IN02,SD,
110000000335,IN03,SD,
110000000336,IN02,SD,
110000000336,IN03,SD,
110000000337,IN02,SD,
110000000337,IN03,SD,
110000000338,IN02,SD,
110000000338,IN03,SD,
110000000339,IN02,SD,
110000000339,IN03,SD,
110000000340,IN02,SD,
110000000340,IN03,SD,
110000000341,IN02,SD,
110000000341,IN03,SD,
110000000342,IN02,SD,
110000000342,IN03,SD,
110000000343,IN02,SD,
110000000343,IN03,SD,
110000000344,IN02,SD,
110000000344,IN03,SD,
110000000345,IN02,SD,
110000000345,IN03,SD,
110000000346,IN02,SD,
110000000346,IN03,SD,
110000000347,IN02,SD,
110000000347,IN03,SD,
110000000348,IN02,SD,
110000000348,IN03,SD,
110000000349,IN02,SD,
110000000349,IN03,SD,
110000000350,IN02,SD,
110000000350,IN03,SD,
110000000351,IN02,SD,
110000000351,IN03,SD,
110000000352,IN02,SD,
110000000352,IN03,SD,
110000000353,IN02,SD,
110000000353,IN03,SD,
110000000354,IN02,SD,
110000000354,IN03,SD,
110000000355,IN02,SD,
110000000355,IN03,SD,
110000000356,IN02,SD,
110000000356,IN03,SD,
110000000357,IN02,SD,
110000000357,IN03,SD,
110000000358,IN02,SD,
110000000358,IN03,SD,
110000000359,IN02,SD,
110000000359,IN03,SD,
110000000360,IN02,SD,
110000000360,IN03,SD,
110000000361,IN02,SD,
110000000361,IN03,SD,
110000000362,IN02,SD,
110000000362,IN03,SD,
110000000363,IN02,SD,
110000000363,IN03,SD,
110000000364,IN02,SD,
110000000364,IN03,SD,
110000000365,IN02,SD,
110000000365,IN03,SD,
110000000366,IN02,SD,
110000000366,IN03,SD,
110000000367,IN02,SD,
110000000367,IN03,SD,
110000000368,IN02,SD,
110000000368,IN03,SD,
110000000369,IN02,SD,
110000000369,IN03,SD,
110000000370,IN02,SD,
110000000370,IN03,SD,
110000000371,IN02,SD,
110000000371,IN03,SD,
110000000372,IN02,SD,
110000000372,IN03,SD,
110000000373,IN02,SD,
110000000373,IN03,SD,
110000000374,IN02,SD,
110000000374,IN03,SD,
110000000375,IN02,SD,
110000000375,IN03,SD,
110000000376,IN02,SD,
110000000376,IN03,SD,
110000000377,IN02,SD,
110000000377,IN03,SD,
110000000378,IN02,SD,
110000000378,IN03,SD,
110000000379,IN02,SD,
110000000379,IN03,SD,
110000000380,IN02,SD,
110000000380,IN03,SD,
110000000381,IN02,SD,
110000000381,IN03,SD,
110000000382,IN02,SD,
110000000382,IN03,SD,
110000000383,IN02,SD,
110000000383,IN03,SD,
110000000384,IN02,SD,
110000000384,IN03,SD,
110000000385,IN02,SD,
110000000385,IN03,SD,
110000000386,IN02,SD,
110000000386,IN03,SD,
110000000387,IN02,SD,
110000000387,IN03,SD,
110000000388,IN02,SD,
110000000388,IN03,SD,
110000000389,IN02,SD,
110000000389,IN03,SD,
110000000390,IN02,SD,
110000000390,IN03,SD,
110000000391,IN02,SD,
110000000391,IN03,SD,
110000000392,IN02,SD,
110000000392,IN03,SD,
110000000393,IN02,SD,
110000000393,IN03,SD,
110000000394,IN02,SD,
110000000394,IN03,SD,
110000000395,IN02,SD,
110000000395,IN03,SD,
110000000396,IN02,SD,
110000000396,IN03,SD,
110000000397,IN02,SD,
110000000397,IN03,SD,
110000000398,IN02,SD,
110000000398,IN03,SD,
110000000399,IN02,SD,
110000000399,IN03,SD,
110000000400,IN02,SD,
110000000400,IN03,SD,
110000000401,IN02,SD,
110000000401,IN03,SD,
110000000402,IN02,SD,
110000000402,IN03,SD,
110000000403,IN02,SD,
110000000403,IN03,SD,
110000000404,IN02,SD,
110000000404,IN03,SD,
110000000405,IN02,SD,
110000000405,IN03,SD,
110000000406,IN02,SD,
110000000406,IN03,SD,
110000000407,IN02,SD,
110000000407,IN03,SD,
110000000408,IN02,SD,
110000000408,IN03,SD,
110000000409,IN02,SD,
110000000409,IN03,SD,
110000000410,IN02,SD,
110000000410,IN03,SD,
110000000411,IN02,SD,
110000000411,IN03,SD,
110000000412,IN02,SD,
110000000412,IN03,SD,
110000000413,IN02,SD,
110000000413,IN03,SD,
110000000414,IN02,SD,
110000000414,IN03,SD,
110000000415,IN02,SD,
110000000415,IN03,SD,
110000000416,IN02,SD,
110000000416,IN03,SD,
110000000417,IN02,SD,
110000000417,IN03,SD,
110000000418,IN02,SD,
110000000418,IN03,SD,
110000000419,IN02,SD,
110000000419,IN03,SD,
110000000420,IN02,SD,
110000000420,IN03,SD,
110000000421,IN02,SD,
110000000421,IN03,SD,
110000000422,IN02,SD,
110000000422,IN03,SD,
110000000423,IN02,SD,
110000000423,IN03,SD,
110000000424,IN02,SD,
110000000424,IN03,SD,
110000000425,IN02,SD,
110000000425,IN03,SD,
110000000426,IN02,SD,
110000000426,IN03,SD,
110000000427,IN02,SD,
110000000427,IN03,SD,
110000000428,IN02,SD,
110000000428,IN03,SD,
110000000429,IN02,SD,
110000000429,IN03,SD,
110000000430,IN02,SD,
110000000430,IN03,SD,
110000000431,IN02,SD,
110000000431,IN03,SD,
110000000432,IN02,SD,
110000000432,IN03,SD,
110000000433,IN02,SD,
110000000433,IN03,SD,
110000000434,IN02,SD,
110000000434,IN03,SD,
110000000435,IN02,SD,
110000000435,IN03,SD,
110000000436,IN02,SD,
110000000436,IN03,SD,
110000000437,IN02,SD,
110000000437,IN03,SD,
110000000438,IN02,SD,
110000000438,IN03,SD,
110000000439,IN02,SD,
110000000439,IN03,SD,
110000000440,IN02,SD,
110000000440,IN03,SD,
110000000441,IN02,SD,
110000000441,IN03,SD,
110000000442,IN02,SD,
110000000442,IN03,SD,
110000000443,IN02,SD,
110000000443,IN03,SD,
110000000444,IN02,SD,
110000000444,IN03,SD,
110000000445,IN02,SD,
110000000445,IN03,SD,
110000000446,IN02,SD,
110000000446,IN03,SD,
110000000447,IN02,SD,
110000000447,IN03,SD,
110000000448,IN02,SD,
110000000448,IN03,SD,
110000000449,IN02,SD,
110000000449,IN03,SD,
110000000450,IN02,SD,
110000000450,IN03,SD,
110000000451,IN02,SD,
110000000451,IN03,SD,
110000000452,IN02,SD,
110000000452,IN03,SD,
110000000453,IN02,SD,
110000000453,IN03,SD,
110000000454,IN02,SD,
110000000454,IN03,SD,
110000000455,IN02,SD,
110000000455,IN03,SD,
110000000456,IN02,SD,
110000000456,IN03,SD,
110000000457,IN02,SD,
110000000457,IN03,SD,
110000000458,IN02,SD,
110000000458,IN03,SD,
110000000459,IN02,SD,
110000000459,IN03,SD,
110000000460,IN02,SD,
110000000460,IN03,SD,
110000000461,IN02,SD,
110000000461,IN03,SD,
110000000462,IN02,SD,
110000000462,IN03,SD,
110000000463,IN02,SD,
110000000463,IN03,SD,
110000000464,IN02,SD,
110000000464,IN03,SD,
110000000465,IN02,SD,
110000000465,IN03,SD,
110000000466,IN02,SD,
110000000466,IN03,SD,
110000000467,IN02,SD,
110000000467,IN03,SD,
110000000468,IN02,SD,
110000000468,IN03,SD,
110000000469,IN02,SD,
110000000469,IN03,SD,
110000000470,IN02,SD,
110000000470,IN03,SD,
110000000471,IN02,SD,
110000000471,IN03,SD,
110000000472,IN02,SD,
110000000472,IN03,SD,
110000000473,IN02,SD,
110000000473,IN03,SD,
110000000474,IN02,SD,
110000000474,IN03,SD,
110000000475,IN02,SD,
110000000475,IN03,SD,
110000000476,IN02,SD,
110000000476,IN03,SD,
110000000477,IN02,SD,
110000000477,IN03,SD,
110000000478,IN02,SD,
110000000478,IN03,SD,
110000000479,IN02,SD,
110000000479,IN03,SD,
110000000480,IN02,SD,
110000000480,IN03,SD,
110000000481,IN02,SD,
110000000481,IN03,SD,
110000000482,IN02,SD,
110000000482,IN03,SD,
110000000483,IN02,SD,
110000000483,IN03,SD,
110000000484,IN02,SD,
110000000484,IN03,SD,
110000000485,IN02,SD,
110000000485,IN03,SD,
110000000486,IN02,SD,
110000000486,IN03,SD,
110000000487,IN02,SD,
110000000487,IN03,SD,
110000000488,IN02,SD,
110000000488,IN03,SD,
110000000489,IN02,SD,
110000000489,IN03,SD,
110000000490,IN02,SD,
110000000490,IN03,SD,
110000000491,IN02,SD,
110000000491,IN03,SD,
110000000492,IN02,SD,
110000000492,IN03,SD,
110000000493,IN02,SD,
110000000493,IN03,SD,
110000000494,IN02,SD,
110000000494,IN03,SD,
110000000495,IN02,SD,
110000000495,IN03,SD,
110000000496,IN02,SD,
110000000496,IN03,SD,
110000000497,IN02,SD,
110000000497,IN03,SD,
110000000498,IN02,SD,
110000000498,IN03,SD,
110000000499,IN02,SD,
110000000499,IN03,SD,
110000000500,IN02,SD,
110000000500,IN03,SD,
110000000501,IN02,SD,
110000000501,IN03,SD,
110000000502,IN02,SD,
110000000502,IN03,SD,
110000000503,IN02,SD,
110000000503,IN03,SD,
110000000504,IN02,SD,
110000000504,IN03,SD,
110000000505,IN02,SD,
110000000505,IN03,SD,
110000000506,IN02,SD,
110000000506,IN03,SD,
110000000507,IN02,SD,
110000000507,IN03,SD,
110000000508,IN02,SD,
110000000508,IN03,SD,
110000000509,IN02,SD,
110000000509,IN03,SD,
110000000510,IN02,SD,
110000000510,IN03,SD,
110000000511,IN02,SD,
110000000511,IN03,SD,
110000000512,IN02,SD,
110000000512,IN03,SD,
110000000513,IN02,SD,
110000000513,IN03,SD,
110000000514,IN02,SD,
110000000514,IN03,SD,
110000000515,IN02,SD,
110000000515,IN03,SD,
110000000516,IN02,SD,
110000000516,IN03,SD,
110000000517,IN02,SD,
110000000517,IN03,SD,
110000000518,IN02,SD,
110000000518,IN03,SD,
110000000519,IN02,SD,
110000000519,IN03,SD,
110000000520,IN02,SD,
110000000520,IN03,SD,
110000000521,IN02,SD,
110000000521,IN03,SD,
110000000522,IN02,SD,
110000000522,IN03,SD,
110000000523,IN02,SD,
110000000523,IN03,SD,
110000000524,IN02,SD,
110000000524,IN03,SD,
110000000525,IN02,SD,
110000000525,IN03,SD,
110000000526,IN02,SD,
110000000526,IN03,SD,
110000000527,IN02,SD,
110000000527,IN03,SD,
110000000528,IN02,SD,
110000000528,IN03,SD,
110000000529,IN02,SD,
110000000529,IN03,SD,
110000000530,IN02,SD,
110000000530,IN03,SD,
110000000531,IN02,SD,
110000000531,IN03,SD,
110000000532,IN02,SD,
110000000532,IN03,SD,
110000000533,IN02,SD,
110000000533,IN03,SD,
