Sales document,Sales Document Item,Material,Material Group,Product hierarchy,Net Value,Order Quantity,Sales unit,Net Price
10000082,60,202038003050.0,B0003,,3660.0,1.0,EA,12.0
10000082,70,202038003100.0,B0003,,11160.0,3.0,EA,12.0
10000082,80,202038003100.0,B0003,,3720.0,1.0,EA,12.0
10000082,90,202038003150.0,B0003,,3780.0,1.0,EA,12.0
10000082,100,202038003150.0,B0003,,11340.0,3.0,EA,12.0
10000082,110,200300283100.0,B0003,,11160.0,3.0,EA,12.0
10000082,120,200300283150.0,B0003,,3780.0,1.0,EA,12.0
10000082,130,202035403000.0,B0003,,7200.0,2.0,EA,12.0
10000082,140,202035403000.0,B0003,,3600.0,1.0,EA,12.0
10000082,150,202035403000.0,B0003,,10800.0,3.0,EA,12.0
10000082,160,202035403100.0,B0003,,3720.0,1.0,EA,12.0
10000082,170,202035403100.0,B0003,,3720.0,1.0,EA,12.0
10000082,180,202034903000.0,B0003,,3600.0,1.0,EA,12.0
10000082,190,202034903100.0,B0003,,33480.0,9.0,EA,12.0
10000082,200,202034903100.0,B0003,,44640.0,12.0,EA,12.0
10000082,210,202034903100.0,B0003,,26040.0,7.0,EA,12.0
10000082,220,202034903100.0,B0003,,37200.0,10.0,EA,12.0
10000082,230,202034903150.0,B0003,,7560.0,2.0,EA,12.0
10000082,240,202034903150.0,B0003,,105840.0,28.0,EA,12.0
10000082,250,202034903150.0,B0003,,7560.0,2.0,EA,12.0
10000082,260,202034903150.0,B0003,,211680.0,56.0,EA,12.0
10000082,270,202033903100.0,B0003,,7440.0,2.0,EA,12.0
10000082,280,202033903100.0,B0003,,3720.0,1.0,EA,12.0
10000082,290,200200012950.0,B0003,,21240.0,6.0,EA,12.0
10000082,300,200200283050.0,B0003,,58560.0,16.0,EA,12.0
10000082,310,200200283050.0,B0003,,32940.0,9.0,EA,12.0
10000082,320,200200283050.0,B0003,,10980.0,3.0,EA,12.0
10000082,330,200300013100.0,B0003,,3720.0,1.0,EA,12.0
10000082,340,200100083000.0,B0003,,79200.0,22.0,EA,12.0
10000082,350,200100043000.0,B0003,,39600.0,11.0,EA,12.0
10000082,360,200100043000.0,B0003,,39600.0,11.0,EA,12.0
10000082,370,200100043000.0,B0003,,3600.0,1.0,EA,12.0
10000082,380,200100033050.0,B0003,,14640.0,4.0,EA,12.0
10000082,390,202039903000.0,B0003,,3600.0,1.0,EA,12.0
10000082,400,202039903000.0,B0003,,3600.0,1.0,EA,12.0
10000082,410,200300283000.0,B0003,,10800.0,3.0,EA,12.0
10000082,420,202039903100.0,B0003,,7440.0,2.0,EA,12.0
10000082,430,202039903100.0,B0003,,11160.0,3.0,EA,12.0
10000082,440,202038003000.0,B0003,,25200.0,7.0,EA,12.0
10000082,450,202038003050.0,B0003,,3660.0,1.0,EA,12.0
10000082,460,202038003100.0,B0003,,11160.0,3.0,EA,12.0
10000082,470,202038003100.0,B0003,,3720.0,1.0,EA,12.0
10000082,480,202038003150.0,B0003,,423360.0,112.0,EA,12.0
10000082,490,202038003150.0,B0003,,3780.0,1.0,EA,12.0
10000082,500,202038003150.0,B0003,,211680.0,56.0,EA,12.0
10000082,510,200300283000.0,B0003,,3600.0,1.0,EA,12.0
10000082,520,200300283100.0,B0003,,14880.0,4.0,EA,12.0
10000082,530,200300283100.0,B0003,,3720.0,1.0,EA,12.0
10000082,540,200300073150.0,B0003,,52920.0,14.0,EA,12.0
10000082,550,202035403000.0,B0003,,21600.0,6.0,EA,12.0
10000082,560,202035403000.0,B0003,,3600.0,1.0,EA,12.0
10000082,570,202035403100.0,B0003,,18600.0,5.0,EA,12.0
10000082,580,202033903100.0,B0003,,3720.0,1.0,EA,12.0
10000082,590,200200283100.0,B0003,,3720.0,1.0,EA,12.0
10000082,600,200200012900.0,B0003,,6960.0,2.0,EA,12.0
10000082,610,202034903050.0,B0003,,95160.0,26.0,EA,12.0
10000083,10,202038003300.0,B0003,,1367520.24,224.0,EA,6105.0
10000083,20,202038003250.0,B0003,,1515150.26,252.0,EA,6012.5
10000084,20,202038003300.0,B0003,,567764.74,93.0,EA,18.5
10000085,20,202038003250.0,B0003,,168350.08,28.0,EA,18.5
10000085,30,202038003300.0,B0003,,854700.42,140.0,EA,18.5
10000086,10,202038003300.0,B0003,,1778700.0,280.0,EA,19.25
10000087,10,202038003300.0,B0003,,2623500.0,424.0,EA,18.75
10000095,10,202038003300.0,B0003,,1367520.0,224.0,EA,6105.0
10000095,20,202038003250.0,B0003,,1346800.0,224.0,EA,6012.5
10000096,10,202038003250.0,B0003,,673400.0,112.0,EA,18.5
10000096,20,202038003300.0,B0003,,341880.0,56.0,EA,18.5
10000097,10,202038003250.0,B0003,,1683500.0,280.0,EA,18.5
10000098,10,202038003250.0,B0003,,179724.75,28.0,EA,6418.74
10000100,10,200100013450.0,B0003,,968415.25,140.0,EA,20.05
10000101,10,200300013200.0,B0003,,27200.0,5.0,EA,17.0
10000101,20,200300013200.0,B0003,,5440.0,1.0,EA,17.0
10000101,30,202038003200.0,B0003,,10560.0,2.0,EA,16.5
10000101,40,202038003200.0,B0003,,152320.0,28.0,EA,17.0
10000101,50,202038003250.0,B0003,,5362.5,1.0,EA,16.5
10000101,60,202038003250.0,B0003,,5362.5,1.0,EA,16.5
10000101,70,200300283225.0,B0003,,10965.0,2.0,EA,17.0
10000101,80,200300283250.0,B0003,,10725.0,2.0,EA,16.5
10000101,90,202035403250.0,B0003,,58987.5,11.0,EA,16.5
10000101,100,200300283250.0,B0003,,5362.5,1.0,EA,16.5
10000101,110,202034903150.0,B0003,,5197.5,1.0,EA,16.5
10000101,120,202034903200.0,B0003,,5280.0,1.0,EA,16.5
10000101,130,202034903200.0,B0003,,220160.0,43.0,EA,16.0
10000101,140,202034903200.0,B0003,,35840.0,7.0,EA,16.0
10000101,150,202034903200.0,B0003,,5120.0,1.0,EA,16.0
10000101,160,202034903225.0,B0003,,36120.0,7.0,EA,16.0
10000101,170,202034903250.0,B0003,,150150.0,28.0,EA,16.5
10000101,180,202034903250.0,B0003,,48262.5,9.0,EA,16.5
10000101,190,202034903250.0,B0003,,5362.5,1.0,EA,16.5
10000101,200,200300013200.0,B0003,,5440.0,1.0,EA,17.0
10000101,210,202038003200.0,B0003,,10880.0,2.0,EA,17.0
10000101,220,200300013200.0,B0003,,10880.0,2.0,EA,17.0
10000101,230,200300013200.0,B0003,,5440.0,1.0,EA,17.0
10000101,240,202038003200.0,B0003,,456959.99,84.0,EA,17.0
10000101,250,202038003150.0,B0003,,5355.0,1.0,EA,17.0
10000101,260,202038003200.0,B0003,,5280.0,1.0,EA,16.5
10000101,270,202038003200.0,B0003,,5280.0,1.0,EA,16.5
10000101,280,202038003200.0,B0003,,5280.0,1.0,EA,16.5
10000101,290,202038003200.0,B0003,,5280.0,1.0,EA,16.5
10000101,300,202038003200.0,B0003,,15840.0,3.0,EA,16.5
10000101,310,202038003200.0,B0003,,5440.0,1.0,EA,17.0
10000101,320,202038003200.0,B0003,,5440.0,1.0,EA,17.0
10000101,330,202038003200.0,B0003,,10880.0,2.0,EA,17.0
10000101,340,202038003200.0,B0003,,5280.0,1.0,EA,16.5
10000101,350,202038003200.0,B0003,,5440.0,1.0,EA,17.0
10000101,360,202038003200.0,B0003,,5440.0,1.0,EA,17.0
10000101,370,202038003225.0,B0003,,10642.5,2.0,EA,16.5
10000101,380,200300283225.0,B0003,,32895.0,6.0,EA,17.0
10000101,390,202038003225.0,B0003,,10642.5,2.0,EA,16.5
10000101,400,202038003225.0,B0003,,5321.25,1.0,EA,16.5
10000101,410,202038003250.0,B0003,,10725.0,2.0,EA,16.5
10000101,420,202038003250.0,B0003,,5362.5,1.0,EA,16.5
10000101,430,202038003250.0,B0003,,5362.5,1.0,EA,16.5
10000101,440,202038003250.0,B0003,,5362.5,1.0,EA,16.5
10000101,450,200300283225.0,B0003,,27412.5,5.0,EA,17.0
10000101,460,200300283250.0,B0003,,5362.5,1.0,EA,16.5
10000101,470,200300283250.0,B0003,,5362.5,1.0,EA,16.5
10000102,10,202038003300.0,B0003,,10902605.7,1940.0,EA,5619.9
10000103,10,202038003300.0,B0003,,8480907.6,1498.0,EA,5661.49
10000104,10,202038003300.0,B0003,,10222598.09,1819.0,EA,5619.9
10000105,10,202038003300.0,B0003,,1132297.13,200.0,EA,5661.49
10000106,20,202038003300.0,B0003,,1025640.0,168.0,EA,6105.0
10000108,20,202038003300.0,B0003,,99000.0,15.0,EA,6600.0
10000110,10,200100013450.0,B0003,,43470.5,6.0,EA,7245.08
10000111,10,202038003300.0,B0003,,1588356.2,252.0,EA,19.1
10000112,10,202038003300.0,B0003,,5749128.0,952.0,EA,18.3
10000113,20,202038003300.0,B0003,,1039500.0,168.0,EA,18.75
10000114,10,202038003250.0,B0003,,2074800.0,336.0,EA,19.0
10000115,20,202038003250.0,B0003,,505050.15,84.0,EA,18.5
10000115,30,202038003300.0,B0003,,1196580.35,196.0,EA,18.5
10000116,20,200200222000.0,B0003,,768512.35,152.0,EA,25.28
10000116,30,200200211000.0,B0003,,105500.05,50.0,EA,21.1
10000117,10,200200283050.0,B0003,,36600.0,10.0,EA,12.0
10000118,10,202038003300.0,B0003,,1025640.0,168.0,EA,6105.0
10000118,20,200300013350.0,B0003,,694120.0,112.0,EA,6197.5
10000119,10,200100013700.0,B0003,,27356875.25,3250.0,EA,22.75
10000120,10,202038003300.0,B0003,,1069200.0,180.0,EA,18.0
10000122,30,202038003350.0,B0003,,694120.0,112.0,EA,18.5
10000122,40,202038003300.0,B0003,,1025640.0,168.0,EA,18.5
10000126,10,202030901500.0,B0003,,300000.0,100.0,EA,20.0
10000127,10,202038003300.0,B0003,,3144075.25,515.0,EA,18.5
10000128,10,202038003300.0,B0003,,764940.0,122.0,EA,19.0
10000129,10,202038003300.0,B0003,,940500.0,152.0,EA,18.75
10000130,10,202038003300.0,B0003,,1813185.1,297.0,EA,18.5
10000130,20,202038003250.0,B0003,,2525250.15,420.0,EA,18.5
10000131,1000,110000004689.0,B0003,,21960002.84,3328.0,EA,6598.56
10000132,20,202038003300.0,B0003,,1025640.0,168.0,EA,6105.0
10000133,20,202038003300.0,B0003,,512820.0,84.0,EA,18.5
10000134,10,202038003300.0,B0003,,1709400.0,280.0,EA,6105.0
10000135,16000,110000004689.0,B0003,,2757240.0,296.0,EA,9315.0
10000136,1000,290000000011.0,S0016,,1930067.76,1.0,EA,1930067.76
10000136,2000,290000000013.0,S0016,,827171.88,1.0,EA,827171.88
10000137,10,202038003250.0,B0003,,0.0,18.0,EA,0.0
10000138,10,202038003300.0,B0003,,2051280.0,336.0,EA,6105.0
10000139,10,202038003300.0,B0003,,376200.0,60.0,EA,19.0
10000140,20,202038003300.0,B0003,,2968812.4,476.0,EA,18.9
10000142,10,202038003300.0,B0003,,1025640.0,168.0,EA,18.5
10000143,20,202038003350.0,B0003,,855255.25,138.0,EA,18.5
10000144,20,200100013400.0,B0003,,5140800.0,756.0,EA,20.0
10000145,20,202038003300.0,B0003,,1709400.0,280.0,EA,18.5
10000146,10,202038003250.0,B0003,,673400.0,112.0,EA,6012.5
10000146,20,202038003350.0,B0003,,694120.0,112.0,EA,6197.5
10000146,30,202038003300.0,B0003,,341880.0,56.0,EA,6105.0
10000146,40,200200211000.0,B0003,,60000.0,25.0,EA,2400.0
10000147,10,202038003250.0,B0003,,1683500.0,280.0,EA,6012.5
10000148,20,202038003250.0,B0003,,4791150.5,810.0,EA,18.2
10000149,10,202038003300.0,B0003,,1354320.0,228.0,EA,18.0
10000150,10,202038003250.0,B0003,,553150.5,92.0,EA,18.5
10000151,10,202038003300.0,B0003,,13425390.5,2292.0,EA,17.75
10000152,20,202038003250.0,B0003,,1346800.0,224.0,EA,18.5
10000153,10,202038003300.0,B0003,,3492720.0,588.0,EA,18.0
10000154,10,202038003300.0,B0003,,2162160.0,364.0,EA,18.0
10000156,10,202038003300.0,B0003,,2051280.0,336.0,EA,6105.0
10000156,30,202038003250.0,B0003,,1346800.0,224.0,EA,6012.5
10000157,30,202038003350.0,B0003,,3123540.0,504.0,EA,6197.5
10000158,10,200200200800.0,B0003,,233376.2,143.0,EA,20.4
10000159,10,200200170400.0,B0003,,462999.97,500.0,EA,23.15
10000159,20,200200180500.0,B0003,,118999.99,100.0,EA,23.8
10000159,30,200200200800.0,B0003,,582623.96,357.0,EA,20.4
10000159,40,200200211000.0,B0003,,322319.98,158.0,EA,20.4
10000159,50,202030901500.0,B0003,,611999.93,200.0,EA,20.4
10000159,60,200200211000.0,B0003,,8160.0,4.0,EA,20.4
10000159,70,200200211000.0,B0003,,55080.0,27.0,EA,20.4
10000159,80,200200211000.0,B0003,,20400.0,10.0,EA,20.4
10000159,90,200200211000.0,B0003,,2040.0,1.0,EA,20.4
10000160,1000,110000003580.0,E0003,,100000.0,2.0,EA,50000.0
10000160,2000,110000001658.0,C0013,,30000.0,1.0,EA,30000.0
10000160,3000,110000001028.0,B0002,,24000.0,2.0,EA,12000.0
10000160,4000,110000001494.0,E0003,,50000.0,1.0,EA,50000.0
10000160,5000,110000002370.0,O0001,,50400.0,1.0,EA,50400.0
10000160,6000,110000002107.0,O0001,,39210.0,1.0,EA,39210.0
10000160,7000,110000003573.0,E0003,,14290.0,1.0,EA,14290.0
10000161,10,200100013400.0,B0003,,1039635.25,151.0,EA,20.25
10000162,20,202038003350.0,B0003,,432820.0,68.0,EA,19.0
10000163,10,202038003250.0,B0003,,1023750.5,168.0,EA,18.75
10000164,10,202038003350.0,B0003,,929624.74,150.0,EA,6197.5
10000165,10,202038003300.0,B0003,,1905750.5,308.0,EA,18.75
10000166,10,202038003250.0,B0003,,539175.25,84.0,EA,6418.75
10000167,10,202038003300.0,B0003,,77220.0,13.0,EA,18.0
10000169,1000,110000003415.0,O0001,,1536600.0,61464.0,EA,25.0
10000170,60,200300013300.0,B0003,,0.0,667.0,EA,0.0
10000171,1000,290000000012.0,S0016,,1536600.0,1.0,EA,1536600.0
10000172,1000,290000000021.0,SERVICE,,913919.79,10752.0,EA,85.0
10000172,2000,290000000021.0,SERVICE,,864959.81,10176.0,EA,85.0
10000173,1000,290000000012.0,S0016,,1778879.6,1.0,EA,1778879.6
10000174,3000,280000000058.0,SERVICE,,40000.0,1.0,M,40000.0
10000175,1000,290000000012.0,S0016,,40000.0,1.0,EA,40000.0
10000176,4000,280000000006.0,SERVICE,,40000.0,1.0,AU,40000.0
10000177,1000,290000000012.0,S0016,,40000.0,1.0,EA,40000.0
10000178,5000,280000000093.0,SERVICE,,100000.0,1.0,AU,100000.0
10000179,1000,290000000012.0,S0016,,100000.0,1.0,EA,100000.0
10000180,10,200300013250.0,B0003,,21411389.98,3542.0,EA,18.6
10000180,20,200300013300.0,B0003,,69752231.92,11364.0,EA,18.6
10000181,1000,280000000013.0,SERVICE,,100499.18,0.5,AU,200998.35
10000181,2000,280000000009.0,SERVICE,,34717.98,0.5,AU,69435.95
10000181,3000,280000000051.0,SERVICE,,466962.52,250.0,AU,1867.85
10000181,4000,280000000051.0,SERVICE,,410110.02,250.0,AU,1640.44
10000181,5000,290000000022.0,SERVICE,,518325.02,750.0,M,691.1
10000181,6000,290000000022.0,SERVICE,,734298.03,850.0,M,863.88
10000181,7000,290000000022.0,SERVICE,,1174878.55,850.0,M,1382.21
10000181,8000,290000000022.0,SERVICE,,440580.52,850.0,M,518.33
10000181,10000,280000000033.0,SERVICE,,392248.52,350.0,M,1120.71
10000181,11000,280000000033.0,SERVICE,,588371.02,350.0,M,1681.06
10000181,12000,280000000033.0,SERVICE,,488629.58,436.0,M,1120.71
10000181,13000,280000000033.0,SERVICE,,1239777.04,1100.0,M,1127.07
10000181,14000,280000000059.0,SERVICE,,130749.48,0.7,AU,186784.97
10000182,1000,290000000012.0,S0016,,6720147.5,1.0,EA,6720147.5
10000184,1000,280000000034.0,SERVICE,,1961243.88,400.0,M,4903.11
10000184,2000,280000000051.0,SERVICE,,1307494.92,500.0,AU,2614.99
10000184,3000,290000000022.0,SERVICE,,449214.97,650.0,M,691.1
10000184,4000,290000000022.0,SERVICE,,561521.96,650.0,M,863.88
10000184,5000,290000000022.0,SERVICE,,898436.44,650.0,M,1382.21
10000184,6000,290000000022.0,SERVICE,,336914.48,650.0,M,518.33
10000184,7000,280000000033.0,SERVICE,,336212.98,300.0,M,1120.71
10000184,8000,280000000033.0,SERVICE,,504317.97,300.0,M,1681.06
10000184,9000,280000000033.0,SERVICE,,336212.98,300.0,M,1120.71
10000184,11000,280000000033.0,SERVICE,,168106.46,0.6,M,280177.43
10000185,10,202038003300.0,B0003,,2051280.0,336.0,EA,6105.0
10000186,1000,290000000012.0,S0016,,6859677.06,1.0,EA,6859677.06
10000187,12000,290000000021.0,SERVICE,,4669.54,50.0,EA,93.39
10000187,13000,280000000059.0,SERVICE,,18678.64,0.1,AU,186786.4
10000187,14000,280000000012.0,SERVICE,,28017.96,0.1,AU,280179.6
10000188,1000,290000000012.0,S0016,,51366.16,1.0,EA,51366.16
10000189,10,202038003300.0,B0003,,99000.22,15.0,EA,6600.01
10000189,20,200100013450.0,B0003,,14835.03,2.0,EA,7417.52
10000190,10,200100013450.0,B0003,,1632471.45,236.0,EA,20.05
10000191,10,202038003300.0,B0003,,1672770.5,274.0,EA,18.5
10000193,20,202038003300.0,B0003,,683760.0,112.0,EA,18.5
10000195,10,202038003250.0,B0003,,1683500.0,280.0,EA,18.5
10000196,10,202038003350.0,B0003,,53600.0,8.0,EA,6700.0
10000201,10,202038003250.0,B0003,,97500.0,15.0,EA,6500.0
10000203,20,202038003250.0,B0003,,3276000.0,504.0,EA,20.0
10000204,10,202038003300.0,B0003,,1905750.5,308.0,EA,18.75
10000205,10,202038003350.0,B0003,,114570.5,18.0,EA,19.0
10000207,10,202038003300.0,B0003,,1805760.0,304.0,EA,18.0
10000208,20,202038003250.0,B0003,,673400.0,112.0,EA,18.5
10000209,10,202038003300.0,B0003,,170940.0,28.0,EA,6105.0
10000210,10,202038003350.0,B0003,,1041180.0,168.0,EA,6197.5
10000210,20,202038003300.0,B0003,,1025640.0,168.0,EA,6105.0
10000211,10,200100013450.0,B0003,,227048.64,2912.0,EA,22.6
10000212,20,202038003250.0,B0003,,505050.5,84.0,EA,6012.51
10000213,40,202038003350.0,B0003,,1950101.9,308.0,EA,18.9
10000215,10,200200160300.0,B0003,,652022.97,930.0,EA,23.37
10000215,20,200200170400.0,B0003,,239999.98,250.0,EA,24.0
10000215,30,200200180500.0,B0003,,119999.99,100.0,EA,24.0
10000215,40,200200190600.0,B0003,,188999.99,150.0,EA,21.0
10000215,50,200200200750.0,B0003,,236249.98,150.0,EA,21.0
10000215,70,202030901500.0,B0003,,296399.98,100.0,EA,19.76
10000215,80,200200211100.0,B0003,,448799.97,200.0,EA,20.4
10000215,110,202034802450.0,B0003,,12127.5,3.0,EA,16.5
10000215,120,202031402500.0,B0003,,66000.0,16.0,EA,16.5
10000215,130,202034802500.0,B0003,,103124.99,25.0,EA,16.5
10000215,140,202031402450.0,B0003,,117232.49,29.0,EA,16.5
10000215,150,202032902450.0,B0003,,8085.0,2.0,EA,16.5
10000216,10,202038003300.0,B0003,,0.0,1.0,EA,0.0
10000217,10,202038003350.0,B0003,,3123540.0,504.0,EA,18.5
10000217,20,200300013300.0,B0003,,3076920.0,504.0,EA,18.5
