Billing Document,Item,Billed Quantity,Net Value,Sales document,Sales Document Item,Material
90000071,1,336.0,1779624.0,5500000000.0,30,202038003300
90000072,1,336.0,1779624.0,5500000000.0,30,202038003300
90000073,1,336.0,1779624.0,5500000000.0,30,202038003300
90000074,1,336.0,1779624.0,5500000000.0,30,202038003300
90000075,1,336.0,1779624.0,5500000000.0,30,202038003300
90000076,1,336.0,1779624.0,5500000000.0,30,202038003300
90000077,1,336.0,1779624.0,5500000000.0,30,202038003300
90000078,1,336.0,1779624.0,5500000000.0,30,202038003300
90000079,1,336.0,1779624.0,5500000000.0,40,202038003300
90000080,1,336.0,1779624.0,5500000000.0,40,202038003300
90000081,1,336.0,1779624.0,5500000000.0,40,202038003300
90000082,1,336.0,1779624.0,5500000000.0,40,202038003300
90000083,1,336.0,1779624.0,5500000000.0,40,202038003300
90000084,1,504.0,2628990.0,5500000013.0,20,202038003250
90000085,1,504.0,2628990.0,5500000013.0,20,202038003250
90000086,1,504.0,2669436.0,5500000013.0,10,202038003300
90000087,1,504.0,2669436.0,5500000013.0,10,202038003300
90000088,1,50.0,40125.0,5500000002.0,10,200200180500
90000089,1,144.0,346680.0,5500000002.0,20,202030901500
90000090,1,100.0,96300.0,5500000002.0,50,200200190600
90000091,1,144.0,346680.0,5500000002.0,20,202030901500
90000092,1,100.0,96300.0,5500000002.0,50,200200190600
90000093,1,100.0,96300.0,5500000002.0,50,200200190600
90000093,2,144.0,346680.0,5500000002.0,20,202030901500
90000094,1,56.0,134820.0,5500000002.0,20,202030901500
90000094,2,60.0,96300.0,5500000002.0,30,200200211000
90000094,3,300.0,361125.0,5500000002.0,40,200200200750
90000095,1,448.0,2336880.0,5500000010.0,10,202038003250
90000096,1,476.0,2482935.0,5500000010.0,10,202038003250
90000097,1,450.0,288900.0,5500000001.0,10,200200170400
90000098,1,476.0,2521134.0,5500000005.0,10,202038003300
90000099,1,308.0,1606605.0,5500000011.0,20,202038003250
90000100,1,196.0,1038114.0,5500000011.0,10,202038003300
90000101,1,504.0,2669436.0,5500000000.0,50,202038003300
90000102,1,504.0,2669436.0,5500000000.0,50,202038003300
90000103,1,504.0,2669436.0,5500000000.0,50,202038003300
90000104,1,13.0,67811.25,5500000017.0,10,202038003250
90000104,2,252.0,1314495.0,5500000017.0,20,202038003250
90000105,1,196.0,1038114.0,5500000017.0,40,202038003300
90000106,1,22.0,116523.0,5500000000.0,50,202038003300
90000107,1,140.0,730275.0,5500000017.0,20,202038003250
90000108,20,28.0,177870.0,10000031.0,20,202038003300
90000108,21,364.0,2312310.0,10000031.0,20,202038003300
90000108,22,112.0,711480.0,10000031.0,20,202038003300
90000109,10,252.0,1515150.5,10000036.0,10,202038003250
90000110,20,28.0,177870.0,10000031.0,20,202038003300
90000110,21,364.0,2312310.0,10000031.0,20,202038003300
90000110,22,112.0,711480.0,10000031.0,20,202038003300
90000111,20,28.0,170940.0,10000031.0,20,202038003300
90000111,21,364.0,2222220.0,10000031.0,20,202038003300
90000111,22,112.0,683760.0,10000031.0,20,202038003300
90000112,20,252.0,1538460.0,10000031.0,20,202038003300
90000112,21,252.0,1538460.0,10000031.0,20,202038003300
90000113,20,364.0,2222220.0,10000031.0,20,202038003300
90000113,21,140.0,854700.0,10000031.0,20,202038003300
90000114,20,224.0,1367520.0,10000031.0,20,202038003300
90000114,21,280.0,1709400.0,10000031.0,20,202038003300
90000115,20,252.0,1538460.0,10000031.0,20,202038003300
90000115,21,252.0,1538460.0,10000031.0,20,202038003300
90000116,20,308.0,1880340.0,10000031.0,20,202038003300
90000116,21,196.0,1196580.0,10000031.0,20,202038003300
90000117,20,336.0,2051280.0,10000031.0,20,202038003300
90000117,21,140.0,854700.0,10000031.0,20,202038003300
90000118,20,252.0,1538460.0,10000031.0,20,202038003300
90000118,21,224.0,1367520.0,10000031.0,20,202038003300
90000119,20,196.0,1196580.0,10000031.0,20,202038003300
90000119,21,308.0,1880340.0,10000031.0,20,202038003300
90000120,20,10.0,61050.01,10000031.0,20,202038003300
90000120,21,308.0,1880340.36,10000031.0,20,202038003300
90000120,22,112.0,683760.13,10000031.0,20,202038003300
90000121,10,252.0,1515150.5,10000036.0,10,202038003250
90000122,10,252.0,1515150.5,10000036.0,10,202038003250
90000123,10,56.0,341880.0,10000037.0,10,202038003300
90000123,11,84.0,512820.0,10000037.0,10,202038003300
90000123,12,28.0,170940.0,10000037.0,10,202038003300
90000124,1,8.0,42372.0,5500000000.0,40,202038003300
90000125,1,156.0,826254.0,5500000000.0,50,202038003300
90000126,1,504.0,2628990.0,5500000012.0,10,202038003250
90000127,1,504.0,2669436.0,5500000012.0,20,202038003300
90000128,20,476.0,2827440.0,10000030.0,20,202038003300
90000129,20,308.0,1829520.0,10000030.0,20,202038003300
90000130,20,168.0,997920.0,10000030.0,20,202038003300
90000131,20,11.0,65340.0,10000030.0,20,202038003300
90000132,20,459.0,2726460.0,10000030.0,20,202038003300
90000133,10,476.0,2905980.0,10000032.0,10,202038003300
90000134,10,429.0,2619045.0,10000032.0,10,202038003300
90000134,11,4.0,24420.0,10000032.0,10,202038003300
90000134,12,3.0,18315.0,10000032.0,10,202038003300
90000135,10,56.0,341880.0,10000037.0,10,202038003300
90000135,11,84.0,512820.0,10000037.0,10,202038003300
90000135,12,28.0,170940.0,10000037.0,10,202038003300
90000136,10,252.0,1515150.5,10000036.0,10,202038003250
90000137,10,252.0,1515150.5,10000036.0,10,202038003250
90000138,10,56.0,341880.0,10000037.0,10,202038003300
90000138,11,84.0,512820.0,10000037.0,10,202038003300
90000138,12,28.0,170940.0,10000037.0,10,202038003300
90000139,10,168.0,997920.0,10000033.0,10,202038003300
90000139,11,56.0,332640.0,10000033.0,10,202038003300
90000140,10,1.0,5940.0,10000033.0,10,202038003300
90000140,11,127.0,754380.0,10000033.0,10,202038003300
90000140,12,100.0,594000.0,10000033.0,10,202038003300
90000141,10,150.0,816000.0,10000035.0,10,200300073200
90000141,11,300.0,1632000.0,10000035.0,10,200300073200
90000142,10,100.0,544000.0,10000035.0,10,200300073200
90000142,11,350.0,1904000.0,10000035.0,10,200300073200
90000143,10,125.0,680000.0,10000035.0,10,200300073200
90000143,11,350.0,1904000.0,10000035.0,10,200300073200
90000144,10,250.0,1360000.0,10000035.0,10,200300073200
90000144,11,225.0,1224000.0,10000035.0,10,200300073200
90000145,10,50.0,61443.49,10000051.0,10,200200180500
90000145,20,144.0,436913.91,10000051.0,20,202030901500
90000145,50,100.0,129194.97,10000051.0,50,200200190600
90000146,10,50.0,61443.49,10000051.0,10,200200180500
90000146,20,144.0,436913.91,10000051.0,20,202030901500
90000146,50,100.0,129194.97,10000051.0,50,200200190600
90000147,10,50.0,61443.49,10000051.0,10,200200180500
90000147,20,144.0,436913.9,10000051.0,20,202030901500
90000147,50,100.0,129194.97,10000051.0,50,200200190600
90000148,20,56.0,169911.05,10000051.0,20,202030901500
90000148,30,60.0,126585.64,10000051.0,30,200200211000
90000148,40,300.0,484481.41,10000051.0,40,200200200750
90000149,1,252.0,1334718.0,5500000003.0,30,202038003300
90000149,2,252.0,1334718.0,5500000003.0,40,202038003300
90000150,20,448.0,2664480.0,10000039.0,20,202038003250
90000151,20,476.0,2831010.5,10000039.0,20,202038003250
90000152,20,450.0,432000.0,10000046.0,20,200200170400
90000153,10,476.0,2945250.5,10000042.0,10,202038003300
90000154,10,308.0,1801800.0,10000030.0,10,202038003250
90000155,20,196.0,1164240.0,10000030.0,20,202038003300
90000156,50,504.0,2885652.4,10000018.0,50,200300053300
90000157,50,504.0,2885652.4,10000018.0,50,200300053300
90000158,50,504.0,2885652.4,10000018.0,50,200300053300
90000159,50,504.0,2885652.4,10000018.0,50,200300053300
90000160,50,504.0,2885652.4,10000018.0,50,200300053300
90000161,50,504.0,2885652.4,10000018.0,50,200300053300
90000162,50,504.0,2885652.4,10000018.0,50,200300053300
90000163,50,504.0,2885652.4,10000018.0,50,200300053300
90000164,50,84.0,480942.07,10000018.0,50,200300053300
90000164,51,420.0,2404710.33,10000018.0,50,200300053300
90000165,50,504.0,2885652.4,10000018.0,50,200300053300
90000166,50,196.0,1122198.16,10000018.0,50,200300053300
90000166,51,308.0,1763454.24,10000018.0,50,200300053300
90000167,60,504.0,2841930.5,10000018.0,60,200300053250
90000168,60,504.0,2841930.5,10000018.0,60,200300053250
90000169,60,504.0,2841930.5,10000018.0,60,200300053250
90000170,60,504.0,2841930.5,10000018.0,60,200300053250
90000171,60,504.0,2841930.5,10000018.0,60,200300053250
90000172,60,224.0,1263080.22,10000018.0,60,200300053250
90000172,61,280.0,1578850.28,10000018.0,60,200300053250
90000173,50,28.0,160314.02,10000018.0,50,200300053300
90000173,51,224.0,1282512.18,10000018.0,50,200300053300
90000173,52,252.0,1442826.2,10000018.0,50,200300053300
90000174,1,504.0,2669436.0,5500000017.0,30,202038003300
90000174,2,18.0,95337.0,5500000017.0,40,202038003300
90000175,1,336.0,1779624.0,5500000000.0,40,202038003300
90000176,1,53.0,280714.5,5500000000.0,50,202038003300
90000176,2,28.0,148302.0,5500000000.0,60,202038003300
90000177,1,57.0,301900.5,5500000000.0,30,202038003300
90000177,2,30.0,158895.0,5500000000.0,40,202038003300
90000178,1,185.0,979852.5,5500000000.0,50,202038003300
90000178,2,84.0,444906.0,5500000000.0,60,202038003300
90000179,1,336.0,1779624.0,5500000000.0,30,202038003300
90000180,1,3.0,15889.5,5500000000.0,30,202038003300
90000180,2,9.0,47668.5,5500000000.0,40,202038003300
90000181,1,448.0,2372832.0,5500000000.0,50,202038003300
90000182,1,252.0,1314495.0,5500000000.0,10,202038003250
90000182,2,138.0,719842.5,5500000000.0,20,202038003250
90000183,1,174.0,921591.0,5500000000.0,50,202038003300
90000183,2,196.0,1038114.0,5500000000.0,60,202038003300
90000184,1,370.0,1930012.5,5500000017.0,10,202038003250
90000185,1,280.0,1460550.0,5500000017.0,10,202038003250
90000186,1,516.0,2691585.0,5500000017.0,10,202038003250
90000187,1,504.0,2628990.0,5500000017.0,10,202038003250
90000188,1,308.0,1606605.0,5500000017.0,10,202038003250
90000189,1,280.0,1460550.0,5500000017.0,10,202038003250
90000190,1,314.0,1637902.5,5500000017.0,10,202038003250
90000191,1,336.0,1752660.0,5500000017.0,10,202038003250
90000192,1,450.0,2347312.5,5500000017.0,10,202038003250
90000193,1,504.0,2628990.0,5500000017.0,10,202038003250
90000194,1,504.0,2628990.0,5500000017.0,20,202038003250
90000195,1,28.0,148302.0,5500000017.0,30,202038003300
90000196,1,476.0,2521134.0,5500000017.0,30,202038003300
90000196,2,20.0,105930.0,5500000017.0,40,202038003300
90000197,1,21.0,109541.25,5500000017.0,10,202038003250
90000197,2,504.0,2628990.0,5500000017.0,20,202038003250
90000198,1,504.0,2628990.0,5500000017.0,20,202038003250
90000199,1,336.0,1779624.0,5500000000.0,30,202038003300
90000200,1,336.0,1779624.0,5500000000.0,40,202038003300
90000201,1,532.0,2817738.0,5500000000.0,60,202038003300
90000202,1,336.0,1779624.0,5500000000.0,40,202038003300
90000203,1,532.0,2817738.0,5500000000.0,60,202038003300
90000204,1,504.0,2669436.0,5500000000.0,50,202038003300
90000205,1,504.0,2669436.0,5500000000.0,50,202038003300
90000206,1,336.0,1779624.0,5500000000.0,40,202038003300
90000207,1,56.0,292110.0,5500000017.0,10,202038003250
90000207,2,250.0,1304062.5,5500000017.0,20,202038003250
90000208,1,43.0,224298.75,5500000017.0,10,202038003250
90000208,2,169.0,881546.25,5500000017.0,20,202038003250
90000209,1,218.0,1137142.5,5500000017.0,10,202038003250
90000209,2,112.0,584220.0,5500000017.0,20,202038003250
90000210,1,56.0,292110.0,5500000017.0,20,202038003250
90000211,1,226.0,1178872.5,5500000017.0,10,202038003250
90000211,2,224.0,1168440.0,5500000017.0,20,202038003250
90000212,1,172.0,910998.0,5500000017.0,40,202038003300
90000213,1,280.0,1460550.0,5500000000.0,10,202038003250
90000213,2,28.0,146055.0,5500000000.0,20,202038003250
90000214,1,196.0,1022385.0,5500000000.0,10,202038003250
90000214,2,131.0,683328.75,5500000000.0,20,202038003250
90000215,1,300.0,1588950.0,5500000000.0,40,202038003300
90000216,1,26.0,137709.0,5500000000.0,50,202038003300
90000217,1,28.0,146055.0,5500000017.0,10,202038003250
90000218,1,4.0,20865.0,5500000017.0,10,202038003250
90000218,2,58.0,302542.5,5500000017.0,20,202038003250
90000219,1,57.0,297326.25,5500000017.0,20,202038003250
90000220,1,10.0,52162.5,5500000017.0,10,202038003250
90000220,2,113.0,589436.25,5500000000.0,20,202038003250
90000221,1,70.0,365137.5,5500000017.0,20,202038003250
90000222,1,280.0,1460550.0,5500000000.0,10,202038003250
90000222,2,28.0,146055.0,5500000000.0,20,202038003250
90000223,1,196.0,1022385.0,5500000000.0,10,202038003250
90000223,2,131.0,683328.75,5500000000.0,20,202038003250
90000224,1,300.0,1588950.0,5500000000.0,40,202038003300
90000225,1,26.0,137709.0,5500000000.0,50,202038003300
90000226,1,28.0,146055.0,5500000017.0,10,202038003250
90000227,1,4.0,20865.0,5500000017.0,10,202038003250
90000227,2,58.0,302542.5,5500000017.0,20,202038003250
90000228,1,57.0,297326.25,5500000017.0,20,202038003250
90000229,1,10.0,52162.5,5500000017.0,10,202038003250
90000229,2,113.0,589436.25,5500000000.0,20,202038003250
90000230,1,70.0,365137.5,5500000017.0,20,202038003250
90000231,1,280.0,1460550.0,5500000000.0,10,202038003250
90000231,2,28.0,146055.0,5500000000.0,20,202038003250
90000232,1,196.0,1022385.0,5500000000.0,10,202038003250
90000232,2,131.0,683328.75,5500000000.0,20,202038003250
90000233,1,196.0,1022385.0,5500000000.0,10,202038003250
90000233,2,131.0,683328.75,5500000000.0,20,202038003250
90000234,1,196.0,1022385.0,5500000000.0,10,202038003250
90000234,2,131.0,683328.75,5500000000.0,20,202038003250
90000235,1,300.0,1588950.0,5500000000.0,40,202038003300
90000236,1,26.0,137709.0,5500000000.0,50,202038003300
90000237,1,28.0,146055.0,5500000017.0,10,202038003250
90000238,1,4.0,20865.0,5500000017.0,10,202038003250
90000238,2,58.0,302542.5,5500000017.0,20,202038003250
90000239,1,57.0,297326.25,5500000017.0,20,202038003250
90000240,1,10.0,52162.5,5500000017.0,10,202038003250
90000240,2,113.0,589436.25,5500000000.0,20,202038003250
90000241,1,70.0,365137.5,5500000017.0,20,202038003250
90000242,10,370.0,2062287.62,10000052.0,10,202038003250
90000243,10,140.0,780324.75,10000052.0,10,202038003250
90000244,10,280.0,1560650.5,10000052.0,10,202038003250
90000245,10,516.0,2876055.25,10000052.0,10,202038003250
90000246,10,504.0,2809170.5,10000052.0,10,202038003250
90000247,10,504.0,2852388.05,10000055.0,10,202038003300
90000247,11,18.0,101871.0,10000055.0,10,202038003300
90000248,10,28.0,158465.7,10000055.0,10,202038003300
90000249,10,476.0,2693922.38,10000055.0,10,202038003300
90000249,11,20.0,113190.02,10000055.0,10,202038003300
90000250,10,532.0,3010854.3,10000055.0,10,202038003300
90000251,10,450.0,2508187.62,10000052.0,10,202038003250
90000252,10,504.0,2809170.5,10000052.0,10,202038003250
90000253,10,504.0,2809170.5,10000052.0,10,202038003250
90000254,10,504.0,2809170.5,10000052.0,10,202038003250
90000255,10,504.0,2809170.5,10000052.0,10,202038003250
90000256,10,336.0,1901592.4,10000053.0,10,202038003300
90000257,10,336.0,1901592.4,10000053.0,10,202038003300
90000258,10,336.0,1901592.4,10000053.0,10,202038003300
90000259,10,336.0,1901592.4,10000053.0,10,202038003300
90000260,10,336.0,1901592.4,10000053.0,10,202038003300
90000261,10,336.0,1901592.4,10000053.0,10,202038003300
90000262,10,336.0,1901592.4,10000053.0,10,202038003300
90000263,10,336.0,1901592.4,10000053.0,10,202038003300
90000264,10,336.0,1901592.4,10000053.0,10,202038003300
90000265,10,336.0,1901592.4,10000053.0,10,202038003300
90000266,10,336.0,1901592.4,10000053.0,10,202038003300
90000267,10,336.0,1901592.4,10000053.0,10,202038003300
90000268,10,336.0,1901592.4,10000053.0,10,202038003300
90000269,10,504.0,2852387.6,10000001.0,10,202038003300
90000270,10,504.0,2852387.6,10000001.0,10,202038003300
90000271,10,504.0,2852387.6,10000001.0,10,202038003300
90000272,10,13.0,72458.75,10000052.0,10,202038003250
90000272,11,252.0,1404585.06,10000052.0,10,202038003250
90000273,10,196.0,1109262.4,10000055.0,10,202038003300
90000273,11,22.0,124509.05,10000055.0,10,202038003300
90000274,10,336.0,1901592.4,10000053.0,10,202038003300
90000275,10,532.0,3010854.3,10000001.0,10,202038003300
90000276,10,532.0,3010854.3,10000001.0,10,202038003300
90000277,10,504.0,2852387.6,10000001.0,10,202038003300
90000278,10,8.0,45276.2,10000001.0,10,202038003300
90000279,10,504.0,2852387.6,10000002.0,10,202038003300
90000280,10,504.0,2809170.5,10000052.0,10,202038003250
90000281,10,504.0,2809170.5,10000052.0,10,202038003250
90000282,10,504.0,2809170.5,10000052.0,10,202038003250
90000283,10,336.0,1901592.4,10000053.0,10,202038003300
90000284,10,336.0,1901592.4,10000053.0,10,202038003300
90000285,10,336.0,1901592.4,10000053.0,10,202038003300
90000286,10,336.0,1901592.4,10000053.0,10,202038003300
90000287,10,336.0,1901592.4,10000053.0,10,202038003300
90000288,10,336.0,1901592.4,10000053.0,10,202038003300
90000289,10,336.0,1901592.4,10000053.0,10,202038003300
90000290,10,53.0,299953.19,10000002.0,10,202038003300
90000290,11,28.0,158465.83,10000002.0,10,202038003300
90000291,10,57.0,322591.28,10000000.0,10,202038003300
90000291,11,30.0,169784.89,10000000.0,10,202038003300
90000292,10,185.0,1047007.65,10000000.0,10,202038003300
90000292,11,84.0,475398.07,10000000.0,10,202038003300
90000293,10,21.0,117048.76,10000052.0,10,202038003250
90000293,11,504.0,2809170.3,10000052.0,10,202038003250
90000294,10,280.0,1560650.5,10000052.0,10,202038003250
90000295,10,336.0,1901592.4,10000053.0,10,202038003300
90000296,10,336.0,1901592.4,10000053.0,10,202038003300
90000297,10,336.0,1901592.4,10000053.0,10,202038003300
90000298,10,3.0,16978.5,10000054.0,10,202038003300
90000298,11,9.0,50935.51,10000054.0,10,202038003300
90000298,12,448.0,2535456.48,10000054.0,10,202038003300
90000299,10,252.0,1404585.24,10000052.0,10,202038003250
90000299,11,138.0,769177.63,10000052.0,10,202038003250
90000300,10,156.0,882881.9,10000053.0,10,202038003300
90000301,10,174.0,984753.12,10000054.0,10,202038003300
90000301,11,196.0,1109262.13,10000054.0,10,202038003300
90000302,10,308.0,1716715.25,10000052.0,10,202038003250
90000303,10,280.0,1560650.5,10000052.0,10,202038003250
90000304,10,314.0,1750157.12,10000052.0,10,202038003250
90000305,10,336.0,1872780.0,10000052.0,10,202038003250
90000306,10,56.0,312130.02,10000052.0,10,202038003250
90000306,11,250.0,1393437.6,10000052.0,10,202038003250
90000307,10,43.0,239671.3,10000052.0,10,202038003250
90000307,11,169.0,941963.95,10000052.0,10,202038003250
90000308,10,218.0,1215077.25,10000052.0,10,202038003250
90000308,11,112.0,624259.87,10000052.0,10,202038003250
90000309,10,56.0,312130.5,10000052.0,10,202038003250
90000310,10,226.0,1259667.56,10000052.0,10,202038003250
90000310,11,224.0,1248520.06,10000052.0,10,202038003250
90000311,10,172.0,973434.3,10000055.0,10,202038003300
90000312,10,300.0,1697850.5,10000054.0,10,202038003300
90000313,10,26.0,147146.65,10000055.0,10,202038003300
90000314,10,42.0,234097.53,10000052.0,10,202038003250
90000314,11,298.0,1660977.71,10000052.0,10,202038003250
90000315,10,196.0,1092454.96,10000052.0,10,202038003250
90000315,11,131.0,730161.23,10000052.0,10,202038003250
90000316,10,21.0,117048.76,10000052.0,10,202038003250
90000316,11,504.0,2809170.3,10000052.0,10,202038003250
90000317,10,504.0,2809170.3,10000052.0,10,202038003250
90000317,11,21.0,117048.76,10000052.0,10,202038003250
90000318,1000,20.0,499999.93,10000045.0,1000,110000003345
90000318,2000,3.0,719999.9,10000045.0,2000,110000000351
90000318,3000,500.0,15000.0,10000045.0,3000,110000000232
90000318,4000,500.0,15000.0,10000045.0,4000,110000000233
90000318,5000,60.0,9600.0,10000045.0,5000,110000000054
90000318,6000,3400.0,285599.96,10000045.0,6000,110000002519
90000318,7000,180.0,8820.0,10000045.0,7000,110000004205
90000318,8000,220.0,2420.0,10000045.0,8000,110000001219
90000318,9000,2900.0,37699.99,10000045.0,9000,110000001219
90000318,10000,970.0,11640.0,10000045.0,10000,110000000061
90000318,11000,1043.0,1251599.82,10000045.0,11000,110000004358
90000318,12000,7.0,35000.0,10000045.0,12000,110000002088
90000319,10,336.0,2082360.46,10000038.0,10,202038003350
90000319,11,28.0,173530.04,10000038.0,10,202038003350
90000320,10,56.0,336700.0,10000036.0,10,202038003250
90000321,1000,1.0,2892379.6,10000067.0,1000,290000000012
90000322,10,280.0,1560650.23,10000052.0,10,202038003250
90000322,11,28.0,156065.02,10000052.0,10,202038003250
90000323,1000,1.0,2892379.6,10000067.0,1000,290000000012
90000324,1000,1.0,2892379.6,10000067.0,1000,290000000012
90000325,10,33.0,206910.0,10000050.0,10,202038003300
90000326,20,280.0,1735300.0,10000056.0,20,202038003350
90000327,20,84.0,505050.16,10000058.0,20,202038003250
90000327,30,112.0,683760.23,10000058.0,30,202038003300
90000327,40,56.0,347060.11,10000058.0,40,202038003350
90000328,20,224.0,1388240.0,10000059.0,20,202038003350
90000328,21,56.0,347060.0,10000059.0,20,202038003350
90000329,1,504.0,2669436.0,5500000016.0,10,202038003300
90000330,20,168.0,1025640.0,10000057.0,20,202038003300
90000330,21,112.0,683760.0,10000057.0,20,202038003300
