Doc. Condition No.,ItemNo,Step Number,Counter,Condition Type,Calculation Type,Amount,Currency,Condition Unit,Value
1000009121,3,15,1,ZA00,A,0.0,,,0.0
1000009126,3,15,1,ZA00,A,0.0,,,0.0
1000009131,3,15,1,ZA00,A,0.0,,,0.0
1000009136,3,15,1,ZA00,A,0.0,,,0.0
1000009141,3,15,1,ZA00,A,0.0,,,0.0
1000009146,3,15,1,ZA00,A,0.0,,,0.0
1000009148,4,15,1,ZA00,A,0.0,,,0.0
1000009153,3,15,1,ZA00,A,0.0,,,0.0
1000009158,3,15,1,ZA00,A,0.0,,,0.0
1000009163,3,15,1,ZA00,A,0.0,,,0.0
1000009168,3,15,1,ZA00,A,0.0,,,0.0
1000009170,4,15,1,ZA00,A,0.0,,,0.0
1000009172,5,15,1,ZA00,A,0.0,,,0.0
1000009177,3,15,1,ZA00,A,0.0,,,0.0
1000009182,3,15,1,ZA00,A,0.0,,,0.0
1000009187,3,15,1,ZA00,A,0.0,,,0.0
1000009192,3,15,1,ZA00,A,0.0,,,0.0
1000009197,3,15,1,ZA00,A,0.0,,,0.0
1000009202,3,15,1,ZA00,A,0.0,,,0.0
1000009207,3,15,1,ZA00,A,0.0,,,0.0
1000009209,4,15,1,ZA00,A,0.0,,,0.0
1000009214,3,15,1,ZA00,A,0.0,,,0.0
1000009219,3,15,1,ZA00,A,0.0,,,0.0
1000009221,4,15,1,ZA00,A,0.0,,,0.0
1000009223,5,15,1,ZA00,A,0.0,,,0.0
1000009228,3,15,1,ZA00,A,0.0,,,0.0
1000009233,3,15,1,ZA00,A,0.0,,,0.0
1000009238,3,15,1,ZA00,A,0.0,,,0.0
1000009240,4,15,1,ZA00,A,0.0,,,0.0
1000009242,5,15,1,ZA00,A,0.0,,,0.0
1000009244,6,15,1,ZA00,A,0.0,,,0.0
1000009249,3,15,1,ZA00,A,0.0,,,0.0
1000009251,4,15,1,ZA00,A,0.0,,,0.0
1000009256,3,15,1,ZA00,A,0.0,,,0.0
1000009261,3,15,1,ZA00,A,0.0,,,0.0
1000009266,3,15,1,ZA00,A,0.0,,,0.0
1000009268,4,15,1,ZA00,A,0.0,,,0.0
1000009273,3,15,1,ZA00,A,0.0,,,0.0
1000009278,3,15,1,ZA00,A,0.0,,,0.0
1000009280,4,15,1,ZA00,A,0.0,,,0.0
1000009285,3,15,1,ZA00,A,0.0,,,0.0
1000009287,4,15,1,ZA00,A,0.0,,,0.0
1000009289,5,15,1,ZA00,A,0.0,,,0.0
1000009291,6,15,1,ZA00,A,0.0,,,0.0
1000009296,3,15,1,ZA00,A,0.0,,,0.0
1000009301,3,15,1,ZA00,A,0.0,,,0.0
1000009306,3,15,1,ZA00,A,0.0,,,0.0
1000009311,3,15,1,ZA00,A,0.0,,,0.0
1000009316,3,15,1,ZA00,A,0.0,,,0.0
1000009321,3,15,1,ZA00,A,0.0,,,0.0
1000009323,4,15,1,ZA00,A,0.0,,,0.0
1000009328,3,15,1,ZA00,A,0.0,,,0.0
1000009333,3,15,1,ZA00,A,0.0,,,0.0
1000009338,3,15,1,ZA00,A,0.0,,,0.0
1000009343,3,15,1,ZA00,A,0.0,,,0.0
1000009348,3,15,1,ZA00,A,0.0,,,0.0
1000009353,3,15,1,ZA00,A,0.0,,,0.0
1000009358,3,15,1,ZA00,A,0.0,,,0.0
1000009363,3,15,1,ZA00,A,0.0,,,0.0
1000009368,3,15,1,ZA00,A,0.0,,,0.0
1000009373,3,15,1,ZA00,A,0.0,,,0.0
1000009378,3,15,1,ZA00,A,0.0,,,0.0
1000009383,3,15,1,ZA00,A,0.0,,,0.0
1000009385,4,15,1,ZA00,A,0.0,,,0.0
1000009387,5,15,1,ZA00,A,0.0,,,0.0
1000009389,6,15,1,ZA00,A,0.0,,,0.0
1000009391,7,15,1,ZA00,A,0.0,,,0.0
1000009393,8,15,1,ZA00,A,0.0,,,0.0
1000009395,9,15,1,ZA00,A,0.0,,,0.0
1000009397,10,15,1,ZA00,A,0.0,,,0.0
1000009399,11,15,1,ZA00,A,0.0,,,0.0
1000009401,12,15,1,ZA00,A,0.0,,,0.0
1000009403,13,15,1,ZA00,A,0.0,,,0.0
1000009405,14,15,1,ZA00,A,0.0,,,0.0
1000009407,15,15,1,ZA00,A,0.0,,,0.0
1000009409,16,15,1,ZA00,A,0.0,,,0.0
1000009411,17,15,1,ZA00,A,0.0,,,0.0
1000009413,18,15,1,ZA00,A,0.0,,,0.0
1000009415,19,15,1,ZA00,A,0.0,,,0.0
1000009417,20,15,1,ZA00,A,0.0,,,0.0
1000009419,21,15,1,ZA00,A,0.0,,,0.0
1000009421,22,15,1,ZA00,A,0.0,,,0.0
1000009423,23,15,1,ZA00,A,0.0,,,0.0
1000009425,24,15,1,ZA00,A,0.0,,,0.0
1000009427,25,15,1,ZA00,A,0.0,,,0.0
1000009429,26,15,1,ZA00,A,0.0,,,0.0
1000009431,27,15,1,ZA00,A,0.0,,,0.0
1000009433,28,15,1,ZA00,A,0.0,,,0.0
1000009438,3,15,1,ZA00,A,0.0,,,0.0
1000009443,3,15,1,ZA00,A,0.0,,,0.0
1000009448,3,15,1,ZA00,A,0.0,,,0.0
1000009453,3,15,1,ZA00,A,0.0,,,0.0
1000009458,3,15,1,ZA00,A,0.0,,,0.0
1000009463,3,15,1,ZA00,A,0.0,,,0.0
1000009468,3,15,1,ZA00,A,0.0,,,0.0
1000009473,3,15,1,ZA00,A,0.0,,,0.0
1000009475,4,15,1,ZA00,A,0.0,,,0.0
1000009480,3,15,1,ZA00,A,0.0,,,0.0
1000009485,3,15,1,ZA00,A,0.0,,,0.0
1000009490,3,15,1,ZA00,A,0.0,,,0.0
1000009495,3,15,1,ZA00,A,0.0,,,0.0
1000009500,3,15,1,ZA00,A,0.0,,,0.0
1000009502,4,15,1,ZA00,A,0.0,,,0.0
1000009507,3,15,1,ZA00,A,0.0,,,0.0
1000009512,3,15,1,ZA00,A,0.0,,,0.0
1000009517,3,15,1,ZA00,A,0.0,,,0.0
1000009519,4,15,1,ZA00,A,0.0,,,0.0
1000009524,3,15,1,ZA00,A,0.0,,,0.0
1000009529,3,15,1,ZA00,A,0.0,,,0.0
1000009534,3,15,1,ZA00,A,0.0,,,0.0
1000009536,4,15,1,ZA00,A,0.0,,,0.0
1000009541,3,15,1,ZA00,A,0.0,,,0.0
1000009543,4,15,1,ZA00,A,0.0,,,0.0
1000009548,3,15,1,ZA00,A,0.0,,,0.0
1000009550,4,15,1,ZA00,A,0.0,,,0.0
1000009555,3,15,1,ZA00,A,0.0,,,0.0
1000009557,4,15,1,ZA00,A,0.0,,,0.0
1000009562,3,15,1,ZA00,A,0.0,,,0.0
1000009567,3,15,1,ZA00,A,0.0,,,0.0
1000009572,3,15,1,ZA00,A,0.0,,,0.0
1000009577,3,15,1,ZA00,A,0.0,,,0.0
1000009579,4,15,1,ZA00,A,0.0,,,0.0
1000009584,3,15,1,ZA00,A,0.0,,,0.0
1000009586,4,15,1,ZA00,A,0.0,,,0.0
1000009588,5,15,1,ZA00,A,0.0,,,0.0
1000009593,3,15,1,ZA00,A,0.0,,,0.0
1000009598,3,15,1,ZA00,A,0.0,,,0.0
1000009600,4,15,1,ZA00,A,0.0,,,0.0
1000009605,3,15,1,ZA00,A,0.0,,,0.0
1000009607,4,15,1,ZA00,A,0.0,,,0.0
1000009609,5,15,1,ZA00,A,0.0,,,0.0
1000009614,3,15,1,ZA00,A,0.0,,,0.0
1000009616,4,15,1,ZA00,A,0.0,,,0.0
1000009618,5,15,1,ZA00,A,0.0,,,0.0
1000009623,3,15,1,ZA00,A,0.0,,,0.0
1000009625,4,15,1,ZA00,A,0.0,,,0.0
1000009630,3,15,1,ZA00,A,0.0,,,0.0
1000009632,4,15,1,ZA00,A,0.0,,,0.0
1000009637,3,15,1,ZA00,A,0.0,,,0.0
1000009642,3,15,1,ZA00,A,0.0,,,0.0
1000009647,3,15,1,ZA00,A,0.0,,,0.0
1000009652,3,15,1,ZA00,A,0.0,,,0.0
1000009657,3,15,1,ZA00,A,0.0,,,0.0
1000009662,3,15,1,ZA00,A,0.0,,,0.0
1000009667,3,15,1,ZA00,A,0.0,,,0.0
1000009672,3,15,1,ZA00,A,0.0,,,0.0
1000009677,3,15,1,ZA00,A,0.0,,,0.0
1000009682,3,15,1,ZA00,A,0.0,,,0.0
1000009684,4,15,1,ZA00,A,0.0,,,0.0
1000009686,5,15,1,ZA00,A,0.0,,,0.0
1000009688,6,15,1,ZA00,A,0.0,,,0.0
1000009693,3,15,1,ZA00,A,0.0,,,0.0
1000009695,4,15,1,ZA00,A,0.0,,,0.0
1000009700,3,15,1,ZA00,A,0.0,,,0.0
1000009702,4,15,1,ZA00,A,0.0,,,0.0
1000009704,5,15,1,ZA00,A,0.0,,,0.0
1000009706,6,15,1,ZA00,A,0.0,,,0.0
1000009708,7,15,1,ZA00,A,0.0,,,0.0
1000009710,8,15,1,ZA00,A,0.0,,,0.0
1000009712,9,15,1,ZA00,A,0.0,,,0.0
1000009714,10,15,1,ZA00,A,0.0,,,0.0
1000009719,3,15,1,ZA00,A,0.0,,,0.0
1000009724,3,15,1,ZA00,A,0.0,,,0.0
1000009726,4,15,1,ZA00,A,0.0,,,0.0
1000009731,3,15,1,ZA00,A,0.0,,,0.0
1000009733,4,15,1,ZA00,A,0.0,,,0.0
1000009735,5,15,1,ZA00,A,0.0,,,0.0
1000009737,6,15,1,ZA00,A,0.0,,,0.0
1000009739,7,15,1,ZA00,A,0.0,,,0.0
1000009744,3,15,1,ZA00,A,0.0,,,0.0
1000009749,3,15,1,ZA00,A,0.0,,,0.0
1000009754,3,15,1,ZA00,A,0.0,,,0.0
1000009759,3,15,1,ZA00,A,0.0,,,0.0
1000009764,3,15,1,ZA00,A,0.0,,,0.0
1000009769,3,15,1,ZA00,A,0.0,,,0.0
1000009771,4,15,1,ZA00,A,0.0,,,0.0
1000009773,5,15,1,ZA00,A,0.0,,,0.0
1000009775,6,15,1,ZA00,A,0.0,,,0.0
1000009777,7,15,1,ZA00,A,0.0,,,0.0
1000009782,3,15,1,ZA00,A,0.0,,,0.0
1000009787,3,15,1,ZA00,A,0.0,,,0.0
1000009792,3,15,1,ZA00,A,0.0,,,0.0
1000009794,4,15,1,ZA00,A,0.0,,,0.0
1000009796,5,15,1,ZA00,A,0.0,,,0.0
1000009801,3,15,1,ZA00,A,0.0,,,0.0
1000009806,3,15,1,ZA00,A,0.0,,,0.0
1000009811,3,15,1,ZA00,A,0.0,,,0.0
1000009816,3,15,1,ZA00,A,0.0,,,0.0
1000009821,3,15,1,ZA00,A,0.0,,,0.0
1000009826,3,15,1,ZA00,A,0.0,,,0.0
1000009831,3,15,1,ZA00,A,0.0,,,0.0
1000009836,3,15,1,ZA00,A,0.0,,,0.0
1000009841,3,15,1,ZA00,A,0.0,,,0.0
1000009846,3,15,1,ZA00,A,0.0,,,0.0
1000009851,3,15,1,ZA00,A,0.0,,,0.0
1000009856,3,15,1,ZA00,A,0.0,,,0.0
1000009861,3,15,1,ZA00,A,0.0,,,0.0
1000009866,3,15,1,ZA00,A,0.0,,,0.0
1000009871,3,15,1,ZA00,A,0.0,,,0.0
1000009873,4,15,1,ZA00,A,0.0,,,0.0
1000009875,5,15,1,ZA00,A,0.0,,,0.0
1000009877,6,15,1,ZA00,A,0.0,,,0.0
1000009882,3,15,1,ZA00,A,0.0,,,0.0
1000009887,3,15,1,ZA00,A,0.0,,,0.0
1000009892,3,15,1,ZA00,A,0.0,,,0.0
1000009894,4,15,1,ZA00,A,0.0,,,0.0
1000009896,5,15,1,ZA00,A,0.0,,,0.0
1000009901,3,15,1,ZA00,A,0.0,,,0.0
1000009906,3,15,1,ZA00,A,0.0,,,0.0
1000009911,3,15,1,ZA00,A,0.0,,,0.0
1000009916,3,15,1,ZA00,A,0.0,,,0.0
1000009918,4,15,1,ZA00,A,0.0,,,0.0
1000009923,3,15,1,ZA00,A,0.0,,,0.0
1000009925,4,15,1,ZA00,A,0.0,,,0.0
1000009927,5,15,1,ZA00,A,0.0,,,0.0
1000009932,3,15,1,ZA00,A,0.0,,,0.0
1000009934,4,15,1,ZA00,A,0.0,,,0.0
1000009936,5,15,1,ZA00,A,0.0,,,0.0
1000009938,6,15,1,ZA00,A,0.0,,,0.0
1000009943,3,15,1,ZA00,A,0.0,,,0.0
1000009945,4,15,1,ZA00,A,0.0,,,0.0
1000009950,3,15,1,ZA00,A,0.0,,,0.0
1000009955,3,15,1,ZA00,A,0.0,,,0.0
1000009960,3,15,1,ZA00,A,0.0,,,0.0
1000009962,4,15,1,ZA00,A,0.0,,,0.0
1000009964,5,15,1,ZA00,A,0.0,,,0.0
1000009969,3,15,1,ZA00,A,0.0,,,0.0
1000009974,3,15,1,ZA00,A,0.0,,,0.0
1000009979,3,15,1,ZA00,A,0.0,,,0.0
1000009981,4,15,1,ZA00,A,0.0,,,0.0
1000009986,3,15,1,ZA00,A,0.0,,,0.0
1000009991,3,15,1,ZA00,A,0.0,,,0.0
1000009996,3,15,1,ZA00,A,0.0,,,0.0
1000009998,4,15,1,ZA00,A,0.0,,,0.0
1000010003,3,15,1,ZA00,A,0.0,,,0.0
1000010008,3,15,1,ZA00,A,0.0,,,0.0
1000010010,4,15,1,ZA00,A,0.0,,,0.0
1000010015,3,15,1,ZA00,A,0.0,,,0.0
1000010020,3,15,1,ZA00,A,0.0,,,0.0
1000010022,4,15,1,ZA00,A,0.0,,,0.0
1000010024,5,15,1,ZA00,A,0.0,,,0.0
1000010029,3,15,1,ZA00,A,0.0,,,0.0
1000010034,3,15,1,ZA00,A,0.0,,,0.0
1000010039,3,15,1,ZA00,A,0.0,,,0.0
1000010044,3,15,1,ZA00,A,0.0,,,0.0
1000010049,3,15,1,ZA00,A,0.0,,,0.0
1000010054,3,15,1,ZA00,A,0.0,,,0.0
1000010059,3,15,1,ZA00,A,0.0,,,0.0
