Sales document,Created on,Sales Document Type,Sales Organization,Distribution Channel,Division,Sold-to Party
10000292.0,2019-03-27,ZTY1,IN01,DT,CD,1000016
10000293.0,2019-03-27,ZTY1,IN01,DT,CD,1000203
10000294.0,2019-03-27,ZSO2,IN03,SD,CD,1000273
10000295.0,2019-03-27,ZTY2,IN01,DI,CD,1003793
10000296.0,2019-03-27,ZSO1,IN03,SD,CD,1000273
10000297.0,2019-03-27,ZTY2,IN01,DI,CD,1003898
10000298.0,2019-03-27,ZTY2,IN01,DI,CD,1000089
10000299.0,2019-03-27,ZTY1,IN01,DT,CD,1000030
10000300.0,2019-03-27,ZTY2,IN01,DI,CD,1000013
10000301.0,2019-03-27,ZSO3,IN03,SD,CD,1000273
10000302.0,2019-03-27,ZSO5,IN03,SD,CD,1000273
10000303.0,2019-03-28,ZTY3,IN01,DI,CD,1000011
10000304.0,2019-03-28,ZRP1,IN01,DI,CD,1000161
10000305.0,2019-03-28,ZRP1,IN01,DI,CD,1000161
10000307.0,2019-03-28,ZSO1,IN02,SD,CD,1000216
10000308.0,2019-03-28,ZSO1,IN02,SD,CD,1000216
10000309.0,2019-03-28,ZTY2,IN01,DI,CD,1000149
10000310.0,2019-03-28,ZOR,IN01,DI,CD,1003738
10000312.0,2019-03-28,ZTY2,IN01,DI,CD,1003795
10000313.0,2019-03-28,ZSO1,IN02,SD,CD,1000216
10000314.0,2019-03-28,ZTY2,IN01,DI,CD,1003795
10000315.0,2019-03-28,ZTY1,IN01,DT,CD,1000055
10000316.0,2019-03-28,ZSO2,IN02,SD,CD,1000216
10000317.0,2019-03-28,ZEX3,IN01,EX,CD,1003801
10000318.0,2019-03-28,ZSO1,IN03,SD,CD,1000105
10000319.0,2019-03-28,ZTY1,IN01,DT,CD,1000022
10000320.0,2019-03-28,ZTY1,IN01,DT,CD,1000022
10000321.0,2019-03-28,ZTY1,IN01,DT,CD,1000161
10000322.0,2019-03-28,ZSO1,IN03,SD,CD,1000105
10000323.0,2019-03-28,ZTY1,IN01,DT,CD,1000030
10000324.0,2019-03-28,ZSO1,IN02,SD,CD,1000216
10000325.0,2019-03-28,ZTY2,IN01,DI,CD,1003868
10000326.0,2019-03-28,ZSO3,IN03,SD,CD,1000264
10000327.0,2019-03-28,ZTY1,IN01,DT,CD,1000161
10000328.0,2019-03-28,ZSO5,IN03,SD,CD,1000264
10000329.0,2019-03-28,ZRP1,IN02,SD,CD,1000216
10000330.0,2019-03-28,ZTPS,IN01,DI,CD,1003914
10000331.0,2019-03-28,ZTY1,IN01,DT,CD,1000052
10000332.0,2019-03-28,ZTY1,IN01,DT,CD,1000016
10000333.0,2019-03-28,ZTY2,IN01,DI,CD,1000115
10000335.0,2019-03-28,ZTY2,IN01,DI,CD,1000188
10000336.0,2019-03-29,ZOR,IN01,DI,CD,1000006
10000337.0,2019-03-29,ZTY2,IN01,DI,CD,1000107
10000338.0,2019-03-29,ZTY2,IN01,DI,CD,1000006
10000339.0,2019-03-29,ZTY1,IN01,DT,CD,1000167
10000340.0,2019-03-29,ZTY2,IN01,DI,CD,1003559
10000341.0,2019-03-29,ZRP1,IN01,DI,CD,1000132
10000342.0,2019-03-29,ZSO1,IN03,SD,CD,1000105
10000343.0,2019-03-29,ZTY2,IN01,DI,CD,1000137
10000345.0,2019-03-29,ZTY2,IN01,DI,CD,1000096
10000346.0,2019-03-29,ZTY1,IN01,DT,CD,1000022
10000347.0,2019-03-29,ZTY2,IN01,DI,CD,1000154
10000348.0,2019-03-29,ZTY2,IN01,DI,CD,1003792
10000350.0,2019-03-29,ZSO2,IN03,SD,CD,1000284
10000354.0,2019-03-29,ZSO2,IN03,SD,CD,1000304
10000355.0,2019-03-29,ZSO2,IN03,SD,CD,1000300
10000356.0,2019-03-29,ZSO2,IN03,SD,CD,1000297
10000357.0,2019-03-29,ZTY2,IN01,DI,CD,1003862
10000358.0,2019-03-29,ZTY1,IN01,DT,CD,1000187
10000359.0,2019-03-29,ZTY2,IN01,DI,CD,1000160
10000360.0,2019-03-29,ZTY1,IN01,DT,CD,1000052
10000361.0,2019-03-29,ZSO3,IN03,SD,CD,1000318
10000362.0,2019-03-29,ZSO1,IN03,SD,CD,1000318
10000363.0,2019-03-29,ZSO2,IN03,SD,CD,1000318
10000364.0,2019-03-29,ZSO5,IN03,SD,CD,1000318
10000365.0,2019-03-29,ZSO4,IN03,SD,CD,1000318
10000366.0,2019-03-29,ZTY2,IN01,DI,CD,1000147
10000367.0,2019-03-29,ZSO5,IN03,SD,CD,1000318
10000368.0,2019-03-30,ZTY2,IN01,DI,CD,1003868
10000369.0,2019-03-30,ZTY3,IN01,DI,CD,1000122
10000370.0,2019-03-30,ZTY2,IN01,DI,CD,1000010
10000371.0,2019-03-30,ZTY1,IN01,DT,CD,1000016
10000372.0,2019-03-30,ZSO1,IN02,SD,CD,1000217
10000373.0,2019-03-30,ZTY2,IN01,DI,CD,1003560
10000374.0,2019-03-30,ZTY2,IN01,DI,CD,1003936
10000375.0,2019-03-30,ZTY1,IN01,DT,CD,1000161
10000376.0,2019-03-30,ZSO1,IN02,SD,CD,1000217
10000377.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000378.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000379.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000380.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000381.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000382.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000383.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000384.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000385.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000386.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000387.0,2019-03-30,ZTY2,IN01,DI,CD,1003926
10000388.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000389.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000390.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000391.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000392.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000393.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000394.0,2019-03-30,ZTY3,IN01,DI,CD,1003790
10000395.0,2019-03-30,ZTY3,IN01,DI,CD,1000048
10000396.0,2019-03-30,ZTY3,IN01,DI,CD,1000051
10000397.0,2019-03-30,ZTY3,IN01,DI,CD,1000039
10000398.0,2019-03-30,ZTY2,IN01,DI,CD,1003364
10000399.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000400.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000401.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000402.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000403.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000404.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000406.0,2019-03-30,ZSO4,IN03,SD,CD,1000004
10000407.0,2019-03-30,ZSO5,IN03,SD,CD,1000004
10000408.0,2019-03-30,ZTY1,IN01,DT,CD,1000022
10000409.0,2019-03-30,ZTY1,IN01,DT,CD,1000052
10000410.0,2019-03-30,ZTY1,IN01,DI,CD,1000052
10000411.0,2019-03-30,ZTY2,IN01,DI,CD,1000160
10000412.0,2019-03-30,ZTY2,IN01,DI,CD,1000181
10000413.0,2019-03-30,ZTY2,IN01,DI,CD,1000181
10000414.0,2019-03-30,ZTY2,IN01,DI,CD,1000143
10000415.0,2019-03-31,ZTY3,IN01,DI,CD,1000165
10000416.0,2019-04-01,ZSO3,IN03,SD,CD,1000312
10000418.0,2019-04-01,ZSO5,IN03,SD,CD,1000312
10000419.0,2019-04-01,ZSO5,IN03,SD,CD,1000312
10000424.0,2019-04-01,ZSO4,IN03,SD,CD,1000248
10000425.0,2019-04-01,ZSO4,IN03,SD,CD,1000248
10000426.0,2019-04-01,ZPSB,IN05,SD,CD,1001465
10000427.0,2019-04-01,ZSO5,IN03,SD,CD,1000248
10000428.0,2019-04-01,ZSO5,IN03,SD,CD,1000248
10000429.0,2019-04-03,ZSM1,IN01,EX,CD,1003916
10000430.0,2019-04-03,ZSO3,IN03,SD,CD,1000120
10000431.0,2019-04-04,ZOR,IN01,DT,CD,1000161
10000432.0,2019-04-04,ZET1,IN01,DI,CD,1004014
10000434.0,2019-04-04,ZTY1,IN01,DT,CD,1000161
10000435.0,2019-04-04,ZTY1,IN01,DT,CD,1000022
10000436.0,2019-04-04,ZTY2,IN01,DI,CD,1003795
10000437.0,2019-04-04,ZTY2,IN01,DI,CD,1000107
10000438.0,2019-04-04,ZSO4,IN02,SD,CD,1000221
10000439.0,2019-04-04,ZSO5,IN02,SD,CD,1000221
10000440.0,2019-04-04,ZSO4,IN02,SD,CD,1000221
10000441.0,2019-04-04,ZSO5,IN02,SD,CD,1000221
10000442.0,2019-04-04,ZSO4,IN02,SD,CD,1000221
10000443.0,2019-04-04,ZSO5,IN02,SD,CD,1000221
10000445.0,2019-04-04,ZRP1,IN01,DI,CD,1000052
10000446.0,2019-04-04,ZRP1,IN01,DI,CD,1000187
10000447.0,2019-04-04,ZRP1,IN01,DI,CD,1000014
10000448.0,2019-04-05,ZRP1,IN01,DI,CD,1000206
10000449.0,2019-04-05,ZRP1,IN01,DI,CD,1000037
10000450.0,2019-04-05,ZTY2,IN01,DI,CD,1003890
10000451.0,2019-04-05,ZUS3,US01,DI,CD,1003972
10000452.0,2019-04-05,ZTY3,IN01,DI,CD,1000037
10000453.0,2019-04-05,ZTY1,IN01,DI,CD,1000141
10000454.0,2019-04-05,ZTY3,IN01,DI,CD,1000037
10000456.0,2019-04-05,ZSO5,IN03,SD,CD,1000120
10000457.0,2019-04-05,ZTY1,IN01,DT,CD,1000023
10000459.0,2019-04-05,ZEX3,IN01,EX,CD,1003801
10000466.0,2019-04-06,ZTY1,IN01,DT,CD,1000167
10000471.0,2019-04-06,ZTY1,IN01,DT,CD,1000052
10000472.0,2019-04-06,ZTY1,IN01,DT,CD,1000052
10000473.0,2019-04-06,ZTY1,IN01,DT,CD,1000054
10000474.0,2019-04-06,ZTY1,IN01,DT,CD,1000203
10000475.0,2019-04-06,ZTY2,IN01,DI,CD,1004004
10000476.0,2019-04-08,ZTY2,IN01,DI,CD,1000143
10000477.0,2019-04-08,ZTY2,IN01,DI,CD,1000199
10000478.0,2019-04-08,ZTY2,IN01,DI,CD,1000154
10000479.0,2019-04-08,ZEX3,IN01,EX,CD,1004038
10000480.0,2019-04-08,ZTY1,IN01,DT,CD,1000022
10000481.0,2019-04-08,ZTY1,IN01,DT,CD,1000022
10000482.0,2019-04-08,ZTY2,IN01,DI,CD,1000147
10000483.0,2019-04-08,ZTY2,IN01,DI,CD,1000159
10000484.0,2019-04-08,ZTY2,IN01,DI,CD,1000133
10000485.0,2019-04-08,ZTY1,IN01,DT,CD,1000203
10000486.0,2019-04-08,ZTY2,IN01,DI,CD,1004034
10000488.0,2019-04-08,ZTY3,IN01,DI,CD,1000035
10000489.0,2019-04-08,ZTY3,IN01,DI,CD,1000032
10000490.0,2019-04-08,ZOR,IN01,DI,CD,1000167
10000493.0,2019-04-08,ZSOR,IN01,EX,CD,1003564
10000494.0,2019-04-08,ZTY1,IN01,DT,CD,1000203
10000495.0,2019-04-08,ZTY2,IN01,DI,CD,1004037
10000496.0,2019-04-08,ZTY1,IN01,DT,CD,1000023
10000500.0,2019-04-09,ZTY1,IN01,DT,CD,1000167
10000501.0,2019-04-09,ZTY2,IN01,DI,CD,1004016
10000502.0,2019-04-09,ZOR,IN01,DI,CD,1004076
10000503.0,2019-04-09,ZTY1,IN01,DT,CD,1000187
10000504.0,2019-04-09,ZOR,IN01,DI,CD,1003560
10000505.0,2019-04-09,ZTY1,IN01,DT,CD,1000203
10000506.0,2019-04-09,ZTY1,IN01,DT,CD,1000036
10000507.0,2019-04-09,ZTY2,IN01,DI,CD,1000147
10000508.0,2019-04-09,ZTY2,IN01,DI,CD,1003560
10000509.0,2019-04-09,ZTY2,IN01,DI,CD,1000152
