Material,Material type,Material Group,Base Unit of Measure
100120100117,ZROH,CELL,EA
100120100118,ZROH,CELL,EA
100120100124,ZROH,CELL,EA
100120100138,ZROH,CELL,EA
100120100139,ZROH,CELL,EA
100120100140,ZROH,CELL,EA
100120100141,ZROH,CELL,EA
100120100142,ZROH,CELL,EA
100120100143,ZROH,CELL,EA
100120100144,ZROH,CELL,EA
100120100145,ZROH,CELL,EA
100120100146,ZROH,CELL,EA
100120100147,ZROH,CELL,EA
100120100148,ZROH,CELL,EA
100120100149,ZROH,CELL,EA
100120100151,ZROH,CELL,EA
100120100152,ZROH,CELL,EA
100120100153,ZROH,CELL,EA
100120100154,ZROH,CELL,EA
100120100155,ZROH,CELL,EA
100120100156,ZROH,CELL,EA
100120100157,ZROH,CELL,EA
100120100172,ZROH,CELL,EA
100120100173,ZROH,CELL,EA
100120100174,ZROH,CELL,EA
100120100176,ZROH,CELL,EA
100120100181,ZROH,CELL,EA
100120100182,ZROH,CELL,EA
100120100183,ZROH,CELL,EA
100120100184,ZROH,CELL,EA
100120100185,ZROH,CELL,EA
100120100186,ZROH,CELL,EA
100120100187,ZROH,CELL,EA
100120100188,ZROH,CELL,EA
100120100189,ZROH,CELL,EA
100120100190,ZROH,CELL,EA
100120100191,ZROH,CELL,EA
100120100192,ZROH,CELL,EA
100120100193,ZROH,CELL,EA
100120100199,ZROH,CELL,EA
100120100200,ZROH,CELL,EA
100120100201,ZROH,CELL,EA
100120100202,ZROH,CELL,EA
100120100203,ZROH,CELL,EA
100120100204,ZROH,CELL,EA
100120100205,ZROH,CELL,EA
100120100206,ZROH,CELL,EA
100120100207,ZROH,CELL,EA
100120100208,ZROH,CELL,EA
100120100209,ZROH,CELL,EA
100120100210,ZROH,CELL,EA
100120100211,ZROH,CELL,EA
100120100212,ZROH,CELL,EA
100120100213,ZROH,CELL,EA
100120100214,ZROH,CELL,EA
100120100215,ZROH,CELL,EA
100120100216,ZROH,CELL,EA
100120100217,ZROH,CELL,EA
100120100218,ZROH,CELL,EA
100120100219,ZROH,CELL,EA
100120100220,ZROH,CELL,EA
100120100221,ZROH,CELL,EA
100120100222,ZROH,CELL,EA
100120100223,ZROH,CELL,EA
100120100224,ZROH,CELL,EA
100120100227,ZROH,CELL,EA
100120100228,ZROH,CELL,EA
100120100229,ZROH,CELL,EA
100120100230,ZROH,CELL,EA
100120100231,ZROH,CELL,EA
100120100232,ZROH,CELL,EA
100120100233,ZROH,CELL,EA
100120100234,ZROH,CELL,EA
100120100235,ZROH,CELL,EA
100120100236,ZROH,CELL,EA
100120100237,ZROH,CELL,EA
100120100238,ZROH,CELL,EA
100121100002,ZROH,CELL,EA
100121100010,ZROH,CELL,EA
100121100011,ZROH,CELL,EA
100121100012,ZROH,CELL,EA
100121100013,ZROH,CELL,EA
100121100014,ZROH,CELL,EA
100121100015,ZROH,CELL,EA
100121100029,ZROH,CELL,EA
100121100030,ZROH,CELL,EA
100121100031,ZROH,CELL,EA
100121100035,ZROH,CELL,EA
100121100036,ZROH,CELL,EA
100121100037,ZROH,CELL,EA
100121100038,ZROH,CELL,EA
100121100049,ZROH,CELL,EA
100121100050,ZROH,CELL,EA
100121100051,ZROH,CELL,EA
100121100076,ZROH,CELL,EA
100121100081,ZROH,CELL,EA
100121100082,ZROH,CELL,EA
100121100083,ZROH,CELL,EA
100121100084,ZROH,CELL,EA
100121100085,ZROH,CELL,EA
100121100086,ZROH,CELL,EA
100121100087,ZROH,CELL,EA
100121100107,ZROH,CELL,EA
100121100108,ZROH,CELL,EA
100121100109,ZROH,CELL,EA
100121100119,ZROH,CELL,EA
100121100120,ZROH,CELL,EA
100121100123,ZROH,CELL,EA
100121100125,ZROH,CELL,EA
100121100126,ZROH,CELL,EA
100121100127,ZROH,CELL,EA
100121100128,ZROH,CELL,EA
100121100129,ZROH,CELL,EA
100121100130,ZROH,CELL,EA
100121100131,ZROH,CELL,EA
100121100132,ZROH,CELL,EA
100121100133,ZROH,CELL,EA
100121100134,ZROH,CELL,EA
100121100135,ZROH,CELL,EA
100121100136,ZROH,CELL,EA
100121110005,ZROH,CELL,EA
100121110006,ZROH,CELL,EA
100121110007,ZROH,CELL,EA
100121110008,ZROH,CELL,EA
100121110009,ZROH,CELL,EA
100121110046,ZROH,CELL,EA
100121110047,ZROH,CELL,EA
100121110048,ZROH,CELL,EA
100121110049,ZROH,CELL,EA
100121110078,ZROH,CELL,EA
100121110079,ZROH,CELL,EA
100121110080,ZROH,CELL,EA
100121110081,ZROH,CELL,EA
100121110082,ZROH,CELL,EA
100121110083,ZROH,CELL,EA
100121110084,ZROH,CELL,EA
100121110085,ZROH,CELL,EA
100121110086,ZROH,CELL,EA
100121110121,ZROH,CELL,EA
100121110122,ZROH,CELL,EA
100130100159,ZROH,CELL,EA
100130100160,ZROH,CELL,EA
100130100161,ZROH,CELL,EA
100130100162,ZROH,CELL,EA
100130100163,ZROH,CELL,EA
100130100164,ZROH,CELL,EA
100130100165,ZROH,CELL,EA
100130100166,ZROH,CELL,EA
100130100167,ZROH,CELL,EA
100130100168,ZROH,CELL,EA
100130100169,ZROH,CELL,EA
100130100170,ZROH,CELL,EA
100130100171,ZROH,CELL,EA
100130100177,ZROH,CELL,EA
100130100178,ZROH,CELL,EA
100130100179,ZROH,CELL,EA
100130100180,ZROH,CELL,EA
100130100194,ZROH,CELL,EA
100130100195,ZROH,CELL,EA
100130100196,ZROH,CELL,EA
100130100197,ZROH,CELL,EA
100130100198,ZROH,CELL,EA
100131110023,ZROH,CELL,EA
100131110026,ZROH,CELL,EA
100131110027,ZROH,CELL,EA
100131110028,ZROH,CELL,EA
100131110029,ZROH,CELL,EA
100131110030,ZROH,CELL,EA
100131110032,ZROH,CELL,EA
100131110033,ZROH,CELL,EA
100131110042,ZROH,T0005,EA
100131110044,ZROH,CELL,EA
100131110180,ZROH,CELL,EA
100131110240,ZROH,CELL,EA
100131110241,ZROH,CELL,EA
100131110243,ZROH,CELL,EA
100131110244,ZROH,CELL,EA
100131110245,ZROH,CELL,EA
100131210029,ZROH,CELL,EA
100131210030,ZROH,CELL,EA
100131210031,ZROH,CELL,EA
100131210032,ZROH,CELL,EA
100131210033,ZROH,CELL,EA
100800010006,ZROH,S0015,EA
100800010007,ZROH,S0015,EA
100800010009,ZROH,S0015,EA
100800010010,ZROH,S0015,EA
100800010011,ZROH,S0015,EA
100900010001,ZROH,F0010,EA
100900010012,ZROH,F0010,EA
100900010020,ZROH,F0010,EA
100900020001,ZROH,F0010,EA
100900020002,ZROH,F0010,EA
100900020003,ZROH,F0010,EA
100900020009,ZROH,F0010,EA
100900020010,ZROH,F0010,EA
100900020012,ZROH,F0010,EA
100900020013,ZROH,F0010,EA
100900020014,ZROH,F0010,EA
100900020015,ZROH,F0010,EA
100900020016,ZROH,F0010,EA
100900020017,ZROH,F0010,EA
100900020018,ZROH,F0010,EA
100900020020,ZROH,F0010,EA
100900020021,ZROH,F0010,EA
100900020023,ZROH,F0010,EA
100900020026,ZROH,F0010,EA
100900020028,ZROH,F0010,EA
100900030004,ZROH,F0010,EA
100900030006,ZROH,F0010,EA
100900030007,ZROH,F0010,EA
100900030008,ZROH,F0010,EA
100900030010,ZROH,F0010,EA
100900030011,ZROH,F0010,EA
100900030013,ZROH,F0010,EA
100900030015,ZROH,F0010,EA
100900030017,ZROH,F0010,EA
100900030018,ZROH,F0010,EA
100900030019,ZROH,F0010,EA
100900030022,ZROH,F0010,EA
100900030024,ZROH,F0010,EA
100900030026,ZROH,F0010,EA
100900030028,ZROH,F0010,EA
100900030029,ZROH,F0010,EA
100900030030,ZROH,F0010,EA
100900030031,ZROH,F0010,EA
100900030032,ZROH,F0010,EA
100900030033,ZROH,F0010,EA
100900030034,ZROH,F0010,EA
100900030037,ZROH,F0010,EA
100900030038,ZROH,F0010,EA
100900030039,ZROH,F0010,EA
100900030040,ZROH,F0010,EA
100900030041,ZROH,F0010,EA
100900030042,ZROH,F0010,EA
100900030043,ZROH,F0010,EA
100900030044,ZROH,F0010,EA
100900030045,ZROH,F0010,EA
100900030046,ZROH,F0010,EA
100900030047,ZROH,F0010,EA
100900030048,ZROH,F0010,EA
100900030049,ZROH,F0010,EA
100900030050,ZROH,F0010,EA
100900030076,ZROH,F0010,EA
100900030078,ZROH,F0010,EA
100900030079,ZROH,F0010,EA
100900040013,ZROH,F0010,EA
100900040017,ZROH,F0010,EA
100900040019,ZROH,F0010,EA
100900040022,ZROH,F0010,EA
100900040078,ZROH,F0010,EA
100900040079,ZROH,F0010,EA
100900050024,ZSFG,C0018,EA
100900050037,ZSFG,C0018,EA
100900050038,ZSFG,C0018,EA
100900050042,ZSFG,C0018,EA
100900050043,ZSFG,C0018,EA
100900050044,ZSFG,C0018,EA
100900050048,ZSFG,C0018,EA
100900050049,ZSFG,C0018,EA
100900050050,ZSFG,C0018,EA
100900050052,ZSFG,C0018,EA
100900060012,ZSFG,C0018,EA
100900060013,ZSFG,C0018,EA
100900060025,ZSFG,C0018,EA
100900060033,ZSFG,C0018,EA
100900060036,ZSFG,C0018,EA
100900060047,ZSFG,C0018,EA
100900060049,ZSFG,C0018,EA
100900060065,ZSFG,C0018,EA
100900060070,ZSFG,C0018,EA
101000010006,ZROH,J0005,EA
101000010007,ZROH,J0005,EA
101000010008,ZROH,J0005,EA
101000010009,ZROH,J0005,EA
101000010010,ZROH,J0005,EA
101000010011,ZROH,J0005,EA
101000050014,ZROH,J0005,EA
101000060003,ZROH,J0005,EA
101000120013,ZROH,J0005,EA
101500010001,ZROH,F0010,EA
101500010002,ZROH,F0010,EA
101500010003,ZROH,F0010,EA
101500010004,ZROH,F0010,EA
101801110001,ZSFG,C0017,EA
101801110002,ZSFG,C0017,EA
101801110003,ZSFG,C0017,EA
101801110004,ZSFG,C0017,EA
101801110005,ZSFG,C0017,EA
101801110006,ZSFG,C0017,EA
101801110007,ZSFG,C0017,EA
101801110008,ZSFG,C0017,EA
101801110009,ZSFG,C0017,EA
101801110010,ZSFG,C0017,EA
101801110011,ZSFG,C0017,EA
101801110012,ZSFG,C0017,EA
101801110013,ZSFG,C0017,EA
101801110014,ZSFG,C0017,EA
101801110015,ZSFG,C0017,EA
101801110016,ZSFG,C0017,EA
101801110017,ZSFG,C0017,EA
101801110018,ZSFG,C0017,EA
101801110019,ZSFG,C0017,EA
101801110020,ZSFG,C0017,EA
101801110021,ZSFG,C0017,EA
101801110022,ZSFG,C0017,EA
101801110023,ZSFG,C0017,EA
101801110024,ZSFG,C0017,EA
101801110025,ZSFG,C0017,EA
101801110026,ZSFG,C0017,EA
101801110027,ZSFG,C0017,EA
101801110028,ZSFG,C0017,EA
101801110029,ZSFG,C0017,EA
101801110030,ZSFG,C0017,EA
101801110031,ZSFG,C0017,EA
101801110032,ZSFG,C0017,EA
101801110033,ZSFG,C0017,EA
101801110034,ZSFG,C0017,EA
101801110035,ZSFG,C0017,EA
101801110036,ZSFG,C0017,EA
101801110037,ZSFG,C0017,EA
101801110038,ZSFG,C0017,EA
101801110039,ZSFG,C0017,EA
101801110040,ZSFG,C0017,EA
101801110041,ZSFG,C0017,EA
101801110060,ZSFG,C0017,EA
101801110061,ZSFG,C0017,EA
101801110062,ZSFG,C0017,EA
101801110063,ZSFG,C0017,EA
101801110079,ZSFG,C0017,EA
101801110081,ZSFG,C0017,EA
101801110082,ZSFG,C0017,EA
101801110083,ZSFG,C0017,EA
101801110084,ZSFG,C0017,EA
101801110085,ZSFG,C0017,EA
101801110086,ZSFG,C0017,EA
101801110087,ZSFG,C0017,EA
101801110088,ZSFG,C0017,EA
101801110089,ZSFG,C0017,EA
101801110090,ZSFG,C0017,EA
101801110091,ZSFG,C0017,EA
101801110092,ZSFG,C0017,EA
101801110093,ZSFG,C0017,EA
101801110094,ZSFG,C0017,EA
101801110095,ZSFG,C0017,EA
101801110096,ZSFG,C0017,EA
101801110097,ZSFG,C0017,EA
101801110098,ZSFG,C0017,EA
101801110099,ZSFG,C0017,EA
101801110100,ZSFG,C0017,EA
101801110101,ZSFG,C0017,EA
101801110102,ZSFG,C0017,EA
101801110103,ZSFG,C0017,EA
101801110104,ZSFG,C0017,EA
101801110105,ZSFG,C0017,EA
101801110106,ZSFG,C0017,EA
101801110107,ZSFG,C0017,EA
101801110108,ZSFG,C0017,EA
101801110109,ZSFG,C0017,EA
101801110110,ZSFG,C0017,EA
101801110111,ZSFG,C0017,EA
101801110112,ZSFG,C0017,EA
101801110113,ZSFG,C0017,EA
101801110114,ZSFG,C0017,EA
101801110115,ZSFG,C0017,EA
101801110116,ZSFG,C0017,EA
101801110117,ZSFG,C0017,EA
101801110118,ZSFG,C0017,EA
101801110119,ZSFG,C0017,EA
101801110120,ZSFG,C0017,EA
104000003200,ZROH,CELL,EA
104000003400,ZROH,CELL,EA
104000003500,ZROH,CELL,EA
104000003600,ZROH,CELL,EA
104000003800,ZROH,CELL,EA
104000090400,ZROH,CELL,EA
104000101500,ZROH,CELL,EA
104000110200,ZROH,CELL,EA
104000110300,ZROH,CELL,EA
104000110400,ZROH,CELL,EA
104000110500,ZROH,CELL,EA
104000113600,ZROH,CELL,EA
104000143700,ZROH,CELL,EA
104000146800,ZROH,CELL,EA
104000147100,ZROH,CELL,EA
104000165000,ZROH,CELL,EA
104000165200,ZROH,CELL,EA
104000165300,ZROH,CELL,EA
104000165500,ZROH,CELL,EA
104000166000,ZROH,CELL,EA
104000168700,ZROH,CELL,EA
104000171400,ZROH,CELL,EA
104000185400,ZROH,CELL,EA
104000186200,ZROH,CELL,EA
104000205500,ZROH,CELL,EA
104000205600,ZROH,CELL,EA
104000205700,ZROH,CELL,EA
104000206100,ZROH,CELL,EA
104000206300,ZROH,CELL,EA
104000206500,ZROH,CELL,EA
104000206700,ZROH,J0005,EA
104000207400,ZROH,J0005,EA
109900000006,ZROH,J0005,EA
110000000000,ZHAW,B0002,EA
110000000004,ZHAW,B0002,EA
110000000005,ZHAW,B0002,EA
110000000006,ZHAW,B0002,EA
110000000007,ZHAW,I0003,EA
110000000008,ZHAW,I0003,EA
110000000009,ZHAW,I0003,EA
110000000010,ZHAW,I0003,EA
110000000011,ZHAW,I0003,EA
110000000013,ZHAW,I0003,EA
110000000015,ZHAW,O0001,EA
110000000016,ZHAW,O0001,EA
110000000017,ZHAW,O0001,EA
110000000018,ZHAW,O0001,EA
110000000019,ZHAW,P0005,EA
110000000020,ZHAW,P0005,EA
110000000021,ZHAW,P0005,EA
110000000022,ZHAW,P0009,EA
110000000023,ZHAW,P0005,EA
110000000024,ZHAW,P0005,EA
110000000025,ZHAW,P0005,EA
110000000026,ZHAW,P0005,EA
110000000027,ZHAW,P0005,EA
110000000028,ZHAW,P0005,EA
110000000029,ZHAW,P0005,EA
110000000030,ZHAW,P0005,EA
110000000031,ZHAW,P0005,EA
110000000032,ZHAW,O0001,PAC
110000000033,ZHAW,O0001,EA
110000000034,ZHAW,B0002,EA
110000000035,ZHAW,O0001,EA
110000000036,ZHAW,O0001,EA
110000000037,ZHAW,O0001,EA
110000000040,ZHAW,C0013,ROL
110000000041,ZHAW,C0013,PAC
110000000042,ZHAW,O0001,EA
110000000043,ZHAW,O0001,EA
110000000044,ZHAW,O0001,BAG
110000000045,ZHAW,O0001,BAG
110000000046,ZHAW,O0001,EA
110000000047,ZHAW,O0001,KG
110000000048,ZHAW,O0001,EA
110000000049,ZHAW,C0013,PAC
110000000051,ZHAW,C0013,PAC
110000000052,ZHAW,C0013,PAC
110000000053,ZHAW,C0013,PAC
110000000055,ZHAW,P0005,EA
110000000056,ZHAW,P0005,EA
110000000057,ZHAW,P0005,M
110000000058,ZHAW,P0005,M
110000000059,ZHAW,P0005,M
110000000060,ZHAW,O0001,EA
110000000061,ZHAW,O0001,EA
110000000062,ZHAW,C0013,EA
110000000063,ZHAW,C0013,EA
110000000064,ZHAW,C0013,EA
110000000065,ZHAW,C0013,EA
110000000066,ZHAW,C0013,EA
110000000067,ZHAW,C0013,EA
110000000068,ZHAW,C0013,EA
110000000069,ZHAW,C0013,EA
110000000070,ZHAW,C0013,EA
110000000071,ZHAW,C0013,EA
110000000072,ZHAW,C0013,EA
110000000073,ZHAW,C0013,EA
110000000075,ZHAW,C0013,M
110000000076,ZHAW,C0013,M
110000000077,ZHAW,C0013,M
110000000078,ZHAW,C0013,M
110000000079,ZHAW,C0013,M
110000000080,ZHAW,C0013,M
110000000081,ZHAW,C0013,M
110000000082,ZHAW,C0013,M
110000000083,ZHAW,C0013,M
110000000084,ZHAW,C0013,M
110000000085,ZHAW,C0013,M
110000000086,ZHAW,O0001,EA
110000000087,ZHAW,O0001,EA
110000000088,ZHAW,O0001,EA
110000000089,ZHAW,O0001,M
110000000090,ZHAW,O0001,EA
110000000091,ZHAW,O0001,EA
110000000092,ZHAW,O0001,EA
110000000093,ZHAW,O0001,EA
110000000094,ZHAW,O0001,EA
110000000095,ZHAW,O0001,EA
110000000096,ZHAW,O0001,EA
110000000097,ZHAW,O0001,EA
110000000098,ZHAW,O0001,EA
110000000099,ZHAW,O0001,EA
110000000100,ZHAW,O0001,EA
110000000101,ZHAW,C0013,EA
110000000102,ZHAW,C0013,EA
110000000103,ZHAW,C0013,EA
110000000104,ZHAW,C0013,EA
110000000105,ZHAW,C0013,EA
110000000106,ZHAW,C0013,EA
110000000107,ZHAW,O0001,EA
110000000108,ZHAW,O0001,EA
110000000110,ZHAW,O0001,EA
110000000111,ZHAW,O0001,EA
110000000112,ZHAW,O0001,EA
110000000113,ZHAW,O0001,EA
110000000114,ZHAW,O0001,EA
110000000115,ZHAW,O0001,EA
110000000116,ZHAW,O0001,EA
110000000117,ZHAW,O0001,EA
110000000118,ZHAW,O0001,EA
110000000119,ZHAW,O0001,EA
110000000120,ZHAW,O0001,EA
110000000121,ZHAW,O0001,EA
110000000122,ZHAW,O0001,EA
110000000123,ZHAW,O0001,EA
110000000124,ZHAW,B0002,L
110000000125,ZHAW,O0001,L
110000000126,ZHAW,O0001,EA
110000000127,ZHAW,O0001,EA
110000000128,ZHAW,O0001,EA
110000000129,ZHAW,O0001,EA
110000000131,ZHAW,O0001,EA
110000000132,ZHAW,O0001,EA
110000000136,ZHAW,P0009,EA
110000000138,ZHAW,O0001,EA
110000000139,ZHAW,O0001,EA
110000000140,ZHAW,O0001,EA
110000000141,ZHAW,P0005,EA
110000000142,ZHAW,P0005,EA
110000000143,ZHAW,P0005,EA
110000000144,ZHAW,C0013,M
110000000145,ZHAW,B0002,EA
110000000146,ZHAW,O0001,EA
110000000147,ZHAW,B0002,EA
110000000148,ZHAW,O0001,EA
110000000150,ZHAW,O0001,KG
110000000151,ZHAW,O0001,EA
110000000152,ZHAW,C0013,M
110000000153,ZHAW,C0013,M
110000000154,ZHAW,P0005,EA
110000000155,ZHAW,P0005,EA
110000000156,ZHAW,P0005,EA
110000000157,ZHAW,P0005,EA
110000000158,ZHAW,O0001,EA
110000000159,ZHAW,O0001,EA
110000000160,ZHAW,C0013,M
110000000161,ZHAW,O0001,EA
110000000162,ZHAW,O0001,EA
110000000163,ZHAW,O0001,EA
110000000164,ZHAW,O0001,EA
110000000165,ZHAW,O0001,EA
110000000166,ZHAW,O0001,EA
110000000167,ZHAW,O0001,EA
110000000168,ZHAW,O0001,EA
110000000169,ZHAW,O0001,KG
110000000170,ZHAW,O0001,KG
110000000171,ZHAW,C0013,M
110000000172,ZHAW,O0001,EA
110000000173,ZHAW,O0001,EA
110000000174,ZHAW,O0001,EA
110000000175,ZHAW,O0001,EA
110000000176,ZHAW,O0001,EA
110000000177,ZHAW,C0013,EA
110000000178,ZHAW,C0013,EA
110000000179,ZHAW,C0013,EA
110000000180,ZHAW,P0005,EA
110000000181,ZHAW,O0001,EA
110000000182,ZHAW,O0001,EA
110000000183,ZHAW,O0001,EA
110000000184,ZHAW,O0001,EA
110000000185,ZHAW,O0001,EA
110000000186,ZHAW,O0001,EA
110000000187,ZHAW,O0001,EA
110000000188,ZHAW,O0001,EA
110000000189,ZHAW,O0001,EA
110000000190,ZHAW,O0001,EA
110000000191,ZHAW,O0001,EA
110000000192,ZHAW,O0001,EA
110000000193,ZHAW,O0001,EA
110000000194,ZHAW,O0001,EA
110000000195,ZHAW,O0001,EA
110000000196,ZHAW,O0001,EA
110000000197,ZHAW,O0001,EA
110000000198,ZHAW,O0001,EA
110000000199,ZHAW,O0001,EA
110000000200,ZHAW,I0003,EA
110000000201,ZHAW,O0001,KG
110000000202,ZHAW,O0001,EA
110000000203,ZHAW,O0001,EA
110000000204,ZHAW,O0001,EA
110000000205,ZHAW,O0001,EA
110000000206,ZHAW,C0013,EA
110000000207,ZHAW,O0001,EA
110000000208,ZHAW,O0001,EA
110000000209,ZHAW,O0001,EA
110000000210,ZHAW,O0001,EA
110000000211,ZHAW,O0001,EA
110000000212,ZHAW,B0002,EA
110000000213,ZHAW,O0001,KG
110000000214,ZHAW,B0002,EA
110000000215,ZHAW,I0003,EA
110000000216,ZHAW,I0003,EA
110000000217,ZHAW,I0003,EA
110000000218,ZHAW,B0002,EA
110000000219,ZHAW,O0001,EA
110000000220,ZHAW,O0001,EA
110000000221,ZHAW,O0001,EA
110000000222,ZHAW,O0001,EA
110000000223,ZHAW,O0001,EA
110000000224,ZHAW,M0003,EA
110000000225,ZHAW,C0013,M
110000000226,ZHAW,C0013,M
110000000227,ZHAW,C0013,M
110000000228,ZHAW,C0013,M
110000000229,ZHAW,C0013,M
110000000230,ZHAW,C0013,M
110000000231,ZHAW,C0013,M
110000000234,ZHAW,P0005,M
110000000235,ZHAW,C0013,PAC
110000000236,ZHAW,C0013,EA
110000000237,ZHAW,C0013,EA
110000000238,ZHAW,C0013,EA
110000000239,ZHAW,O0001,KG
110000000240,ZHAW,O0001,EA
110000000241,ZHAW,P0009,EA
110000000242,ZHAW,O0001,EA
110000000243,ZHAW,O0001,EA
110000000244,ZHAW,O0001,EA
110000000245,ZHAW,O0001,EA
110000000246,ZHAW,O0001,EA
110000000247,ZHAW,O0001,EA
110000000248,ZHAW,O0001,EA
110000000249,ZHAW,O0001,EA
110000000250,ZHAW,O0001,EA
110000000251,ZHAW,B0002,EA
110000000252,ZHAW,O0001,EA
110000000253,ZHAW,O0001,EA
110000000254,ZHAW,C0013,M
110000000255,ZHAW,P0009,EA
110000000256,ZHAW,O0001,M
110000000257,ZHAW,O0001,EA
110000000258,ZHAW,O0001,EA
110000000259,ZHAW,O0001,EA
110000000260,ZHAW,O0001,EA
110000000261,ZHAW,O0001,EA
110000000262,ZHAW,O0001,EA
110000000263,ZHAW,P0009,EA
110000000264,ZHAW,O0001,EA
110000000265,ZHAW,O0001,EA
110000000266,ZHAW,C0013,M
110000000267,ZHAW,B0002,EA
110000000268,ZHAW,B0002,EA
110000000269,ZHAW,B0002,EA
110000000271,ZHAW,M0003,EA
110000000272,ZHAW,O0001,EA
110000000273,ZHAW,B0002,EA
110000000274,ZHAW,B0002,EA
110000000275,ZHAW,B0002,EA
110000000276,ZHAW,B0002,EA
110000000277,ZHAW,O0001,EA
110000000278,ZHAW,O0001,EA
110000000279,ZHAW,O0001,EA
110000000280,ZHAW,O0001,EA
110000000281,ZHAW,O0001,EA
110000000282,ZHAW,O0001,EA
110000000283,ZHAW,O0001,EA
110000000284,ZHAW,O0001,EA
110000000285,ZHAW,O0001,EA
110000000286,ZHAW,O0001,EA
110000000287,ZHAW,O0001,EA
110000000288,ZHAW,O0001,EA
110000000289,ZHAW,O0001,TON
110000000290,ZHAW,O0001,TON
110000000291,ZHAW,O0001,BAG
110000000292,ZHAW,P0005,EA
110000000293,ZHAW,O0001,EA
110000000294,ZHAW,O0001,EA
110000000295,ZHAW,O0001,EA
110000000296,ZHAW,O0001,EA
110000000297,ZHAW,C0013,KGS
110000000298,ZHAW,C0013,EA
110000000299,ZHAW,C0013,EA
110000000300,ZHAW,O0001,M
110000000301,ZHAW,O0001,EA
110000000302,ZHAW,P0005,EA
110000000303,ZHAW,O0001,EA
110000000304,ZHAW,B0002,EA
110000000305,ZHAW,O0001,EA
110000000306,ZHAW,B0002,EA
110000000307,ZHAW,I0003,EA
110000000308,ZHAW,C0013,EA
110000000309,ZHAW,I0003,EA
110000000310,ZHAW,C0013,M
110000000311,ZHAW,C0013,M
110000000312,ZHAW,O0001,M
110000000313,ZHAW,C0013,M
110000000314,ZHAW,O0001,EA
110000000315,ZHAW,O0001,EA
110000000316,ZHAW,O0001,EA
110000000317,ZHAW,O0001,EA
110000000318,ZHAW,O0001,EA
110000000319,ZHAW,O0001,EA
110000000320,ZHAW,O0001,EA
110000000321,ZHAW,O0001,EA
110000000322,ZHAW,O0001,EA
110000000323,ZHAW,O0001,PC
110000000324,ZHAW,O0001,EA
110000000325,ZHAW,O0001,EA
110000000326,ZHAW,O0001,EA
110000000327,ZHAW,C0013,EA
110000000328,ZHAW,C0013,EA
110000000329,ZHAW,C0013,AU
110000000333,ZHAW,C0013,EA
